Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-6.11438009e-142],-6.1101000282329300683e-142,1.6171466164439750745e-143,-3.0550500141164650341e-142,0.9363186481942611,0.0036825423543359365,0.9364100957314202,10000,10.494274854660034
[-0.37087983],-0.37010098600805176573,0.016977821149398378486,-0.18505268755640364067,0.9971082537623095,0.003152198431355775,0.9971762747019255,10000,10.54831337928772
[-2.04036992e-39],-2.0373093641989581864e-39,7.8963897534557573374e-41,-1.0186546820994790932e-39,0.9665797108213458,0.0026829066378132324,0.9666703542945839,10000,10.83235478401184
[-6.34512763e-25],-6.343858604233754599e-25,8.9724681675682130636e-27,-3.1719293021168772996e-25,0.973822698171737,0.0013670968900075062,0.9738420337750234,10000,11.065308094024658
[-1.76514724e-86],-1.7596752796546253883e-86,9.8126787700940651896e-88,-8.798376398273126941e-87,0.9504686283893209,0.0027801162799813927,0.9505894827081041,10000,10.869941234588623
[-8.76233064e-208],-8.757949475318452282e-208,1.9588268049619538557e-209,-4.378974737659226141e-208,0.9230839402036858,0.004790643207660317,0.9231802902853692,10000,10.719558238983154
[-2.13632703e-17],-2.1339770751466551015e-17,7.081497164587971213e-19,-1.0700928240035965789e-17,0.9785450968440204,0.0024058722936410874,0.978611777276375,10000,10.49202036857605
[-3.78050933e-66],-3.7774849181453627966e-66,1.0688617108076791974e-67,-1.8887424590726813983e-66,0.9565075696386102,0.004059685017897178,0.9566194379995151,10000,10.408239841461182
[-3.47905565e-216],-3.4714017310548692708e-216,1.6300257543834885853e-217,-1.7357008655274346354e-216,0.9213277632375084,0.006739331862404889,0.921575212261757,10000,9.577664375305176
[-7.9656129e-351],-7.9600369706708545954e-351,2.1067653220747882619e-352,-3.9800184853354272977e-351,0.8995777019382671,0.0027429425745946518,0.8996486477468282,10000,10.73471450805664
[-1.38604516e-05],-1.3834116784570591367e-05,6.035888524091475169e-07,-6.9170583922852956836e-06,0.9895652733034372,0.005832041787963963,0.9897927156899863,10000,10.224435806274414
[-3.58583202e-122],-3.584397686527948134e-122,7.170229562401655941e-124,-1.792198843263974067e-122,0.9409019385018864,0.0016317955232814233,0.9409345491799468,10000,10.80001449584961
[-3.73233595e-08],-3.7129278039777121685e-08,2.6844189020162640572e-09,-1.8564639019888560843e-08,0.9854323829024288,0.0013939963170779522,0.9855303321467588,10000,9.855556964874268
[-1.92421036e-80],-1.9228634083974792312e-80,5.089199915558845869e-82,-9.614317041987396156e-81,0.9520118039837017,0.007387188341544416,0.9522039328283026,10000,10.489584684371948
[-4.72481836e-417],-4.6761527277364560206e-417,4.7704078876634683458e-418,-2.3380763638682280103e-417,0.8900711087990305,0.006497682987375026,0.8905506048918747,10000,10.612967729568481
[-6.26080846e-38],-6.2482868413377422815e-38,2.7971173413300369701e-39,-3.1241434206688711408e-38,0.9673639974978083,0.004547080302786346,0.9675620104472683,10000,10.097888469696045
[-1.04244811e-21],-1.0421353777078865451e-21,1.8053022382034695725e-23,-5.2106768885394327257e-22,0.9756615862142591,0.0027039761047399145,0.9757084274809342,10000,10.446033477783203
[-4.37068638e-09],-4.3636932774576502117e-09,1.7468753707274084408e-10,-2.1818466387288251058e-09,0.9844087875417529,0.0068428659786164804,0.9846396854440927,10000,10.507306337356567
[-1.45261986e-53],-1.451603028060633375e-53,3.841925523970475774e-55,-7.258015140303166875e-54,0.9613536821686066,0.0032109000322904004,0.9614261153092429,10000,10.213119745254517
[-5.52161297e-189],-5.5000960719063019988e-189,3.438742804292986174e-190,-2.7500480359531509994e-189,0.9261719475788716,0.007707835989449711,0.9265488610656502,10000,9.738880395889282
