Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-6.9584457e-4660],-6.9584457016202082886e-4660,0.0,2.4292572517581230746e-1739,0.6338240750193112,0.0,0.6338240750193112,10000,8.869147062301636
[-4.8724893e-1588],-4.8710275551092629227e-1588,8.438133025414303489e-1590,2.7857026633709589087e-159,0.786241422927514,0.0020982125906098183,0.7862777681879186,10000,10.49926209449768
[-6.77701086e-3402],-6.7756554533768274174e-3402,0.0,-3.3878277266884137087e-3402,0.6871505092325271,4.281759143508305e-05,0.6871510742020379,10000,11.269351243972778
[-9.50845247e-478],-9.508452471446279071e-478,0.0,-4.7542262357231395354e-478,0.8829923167465858,0.0,0.8829923167465858,10000,9.198453664779663
[-7.91169984e-379],-7.911699842672128e-379,0.0,-3.955849921336064e-379,0.8957231285579043,3.3306690738754696e-16,0.8957231285579046,10000,9.714515209197998
[-1.33271467e-1314],-1.3260802047663887757e-1314,6.634134394461818628e-1315,3.2757369043313833517e-1299,0.8055568044354914,1.6946605058568065e-06,0.8057262620125629,10000,9.695224523544312
[-1.76901388e-2176],-1.7690138842224764121e-2176,1.5498926327974886729e-2195,6.2519481215861831394e-666,0.7498948474949393,0.0,0.7498948474949393,10000,9.254515171051025
[0.],0.0,0.0,5.970451369966461052e-3265,0.6063949194832804,1.1102230246251565e-16,0.6063949194832803,10000,8.657587051391602
[-1.96411532e-2974],-1.9641153182978025533e-2974,0.0,2.3355030515769676252e-368,0.7074803779110775,0.0,0.7074803779110775,10000,8.547815799713135
[-1.45371466e-3716],-1.4537146571249150197e-3716,0.0,2.6244055613167205025e-1078,0.6729973473767566,1.1102230246251565e-16,0.6729973473767565,10000,8.780615091323853
[-7.67284487e-4121],2.6426324648395329088e-3791,0.0,3.4693502745122114155e-973,0.6556380626381935,0.00014235318762915837,0.669872669617376,10000,9.38468337059021
[0.],6.81526238579120534e-2539,0.0,2.6451259029579196832e-1478,0.5532658276026522,0.0017667248051076187,0.7299294742685372,10000,9.785284757614136
[-0.],0.0,0.0,2.8099014798252210056e-4137,0.5937302432466922,0.0,0.5937302432466922,10000,10.180199384689331
[-3.17803029e-2526],-3.177712482283642003e-2526,0.0,-1.5888562411418210014e-2526,0.730409365491242,1.0930851290822147e-05,0.7304094748052208,10000,11.045161962509155
[-1.19475133e-43],-1.1947513261831447927e-43,9.7234613716580339174e-63,-5.9737566309157239633e-44,0.9650516530014547,3.3306690738754696e-16,0.965051653001455,10000,9.347577333450317
[-4.43771121e-1530],-4.429334310106185186e-1530,1.7861828325158505284e-1531,-2.214667155053092593e-1530,0.7903054060584592,3.236337257245989e-05,0.7903063749851248,10000,10.830422401428223
[0.],0.0,0.0,2.5351032690491050919e-405,0.6016690611941469,0.0,0.6016690611941469,10000,10.957107543945312
[-1.86239676e-3444],-1.8623967607106054491e-3444,0.0,-9.311983803553027246e-3445,0.685195327821863,2.220446049250313e-16,0.6851953278218632,10000,10.311841249465942
[-2.86690451e-2020],-2.866904508582113929e-2020,2.6599248297704676326e-2039,1.3799840081418788823e-1666,0.7589721769383394,2.220446049250313e-16,0.7589721769383392,10000,10.567613124847412
[-3.08752929e-2740],-3.0862942763304564498e-2740,0.0,-1.5431471381652282249e-2740,0.7192552194562007,6.657775057232373e-05,0.7192563834131578,10000,9.294413566589355
