Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-3.98972535e-682],-3.9543993550719492653e-682,3.6254201524614047802e-683,-3.9542573917042544024e-682,0.8599379879619184,0.006757342403697619,0.86018728499061,10000,10.308306217193604
[-8.74310044e-12],-8.700118420861799333e-12,5.8614229749230915675e-13,-8.69891094203194391e-12,0.9829012941667131,0.0018268728397329902,0.9829998915998451,10000,10.449365854263306
[-6.18797159e-05],-6.1544461448569646634e-05,4.2121507127109813098e-06,-6.153714412825323386e-05,0.9902114723011065,0.002870619148145635,0.9902862038459169,10000,10.267293214797974
[-0.85953791],-0.8561393538490023496,0.047805632154363134918,-0.8553642099826303025,0.9988201500571681,0.0018194916750686502,0.9988801099460854,10000,10.230012655258179
[-7.64418037e-23],-7.613120666831602891e-23,4.697157785557152851e-24,-7.6104910951539709747e-23,0.9756734333230326,0.006700653443302849,0.9759348390413953,10000,9.46667742729187
[-8.11022369e-05],-8.0715651005734600075e-05,5.505133451784189955e-06,-8.070349428812008045e-05,0.9906784268193835,0.0033470015067716304,0.9908398844149816,10000,10.252238035202026
[-8.11020825e-05],-8.0695395324112510756e-05,5.5010707619724123173e-06,-8.068667998083591209e-05,0.9907036089792991,0.0023897205905883353,0.9908426845806059,10000,11.011869668960571
[-2.08090655e-132],-2.0702364689136948076e-132,1.4570691467723046556e-133,-2.0700621951887128904e-132,0.9387163723392347,0.0008883922636511609,0.9387528809483313,10000,10.989672183990479
[-1.04522364e-13],-1.03929166138514462734e-13,7.3310407442909150616e-15,-1.0391419092591426983e-13,0.9806345490968672,0.0036569404556844984,0.9808076427118007,10000,10.183857917785645
[-3.33856518e-31],-3.3223445233405173142e-31,2.1882713107392100208e-32,-3.321678415613372042e-31,0.971084811360134,0.004564348659651777,0.9712201162962006,10000,10.436811923980713
[-8.74310045e-12],-8.728531134213072024e-12,3.404890442218953023e-13,-8.7248230173756542486e-12,0.9829601283487149,0.00034499996727050444,0.9829761815685921,10000,9.327087640762329
[-1.43180358e-23],-1.4222627743012878883e-23,1.0466866266941677916e-24,-1.4220158511865928879e-23,0.9744283720248088,0.002040564323808659,0.9745023978062162,10000,10.124643087387085
[-7.88547695e-512],-7.836522307896903115e-512,6.036202014460032755e-513,-7.835824097010104955e-512,0.8787047986385602,0.0048639397652998125,0.8789361978042869,10000,10.042458772659302
[-6.6466055e-175],-6.584600827321192391e-175,6.08669559882679028e-176,-6.584333252896024616e-175,0.9291623452989101,0.003519913359084328,0.9292824709823118,10000,10.345934391021729
[-0.99999098],-0.5860431559407272346,0.4594939096020743812,-0.5720840368849078405,0.987943385565941,0.031944578030045974,0.9999913315635034,89,0.2705821990966797
[-1.23598124e-4389],-1.1945144010857965068e-4389,0.0,1.8832223823258260651e-1587,0.6438795360765027,0.0048068478580968075,0.6447260801451691,10000,10.898263931274414
[-8.43169761e-85],-8.378162467586302724e-85,6.209637117877559879e-86,-8.3774483990718124486e-85,0.9508212230785275,0.004088029344007595,0.9509773825789011,10000,10.832285642623901
[-8.11022389e-05],-8.080508608254126069e-05,4.5334909196836035582e-06,-8.078336043906250055e-05,0.9907486065772569,0.0023653791855363145,0.9908178532622854,10000,10.842634677886963
[-3.01726217e-1409],-2.9959606334633496431e-1409,2.2871745935110729095e-1410,-2.9950072659927444788e-1409,0.798687441516272,0.003353640094144621,0.7987941621631779,10000,10.025870561599731
[-8.7185767e-12],-8.678371945077194478e-12,5.5755528023171229445e-13,-8.675104510962643702e-12,0.9827899045586433,0.0035220750609179035,0.9829460582199379,10000,9.932841539382935
