Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-5.45368009e-320],-5.426460778450562758e-320,3.6493700619903422202e-321,-5.4232664063404220455e-320,0.9043319723268846,0.0023699116161011104,0.9044550537736633,10000,10.486197233200073
[-0.99999202],-0.6320305935910363205,0.43881333172960082072,-0.5895331535907649653,0.9700935667873616,0.08018979209357235,0.9999918454581562,84,0.1554548740386963
[-8.11022389e-05],-8.081874848012509193e-05,4.4401864979497029923e-06,-8.078910197583570025e-05,0.9907497370900621,0.002378949974013801,0.9914864904089886,10000,9.669532299041748
[-7.83231266e-118],-7.7897674377195014876e-118,5.535704042968625309e-119,-7.788717411090633765e-118,0.9424251782905105,0.004481625947733983,0.9426256962676924,10000,10.717542886734009
[-1.53351778e-09],-1.5271169066471889457e-09,9.0972781919563649603e-11,-1.5266287572546902978e-09,0.984581949778834,0.004094462968055481,0.984737586514866,10000,9.708601713180542
[-5.90420821e-1174],-5.867132191324633725e-1174,4.51501945274522959e-1175,-5.866287513919172394e-1174,0.8163860853110566,0.002089700926289282,0.816496464082387,10000,9.311862468719482
[-5.23736265e-993],-5.199471212368295436e-993,4.0743593938284140103e-994,-5.198365616534138103e-993,0.8311692004475992,0.002863465695906607,0.8312989058966564,10000,10.18423867225647
[-9.8799032e-07],-9.811546492970157412e-07,7.6208159443876977105e-08,-9.81112976636309661e-07,0.987242139852212,0.0020542806126270536,0.9873057101197161,10000,9.313608407974243
[-2.35187474e-169],-2.3331043832407639364e-169,1.9527518374963307339e-170,-2.333011352693007526e-169,0.9304247862851224,0.004883658792228698,0.9306175050073965,10000,9.743487358093262
[-1.28385797e-13],-1.2744907839991764095e-13,1.01779018971349710115e-14,-1.2744248188751650236e-13,0.9806505849343643,0.006550009304594865,0.9808905719589623,10000,10.798667430877686
[-8.74310045e-12],-8.702766427032202388e-12,5.771803315916367762e-13,-8.701642061661287887e-12,0.982545262398122,0.011606781407152622,0.9830834195160838,10000,9.839256048202515
[-3.85091586e-111],-3.8281170768799666654e-111,2.7185222921949712953e-112,-3.8275201867861063374e-111,0.9439680394601259,0.0046933233635664115,0.9440769851382469,10000,9.49875807762146
[-0.99999991],-0.4965327712136551195,0.42030771778316817306,-0.4774757954118563032,0.9658870647696168,0.06764909375306817,0.9999991419617831,78,0.12210440635681152
[-9.74637296e-702],-9.682234943637202633e-702,7.5720465217109220883e-703,-9.68122419825961632e-702,0.8581206226724521,0.004443035559004919,0.8582620384033155,10000,10.386935949325562
[-3.87620736e-178],-3.8576744331128289155e-178,2.5433953697649506474e-179,-3.856378138973449494e-178,0.9290234073984468,0.0017115981418438782,0.929158389023981,10000,10.525451421737671
[-3.40879275e-31],-3.394319527905579658e-31,2.12270735270797093e-32,-3.393658719445881262e-31,0.971040816734987,0.0064594611963919605,0.9712726913586425,10000,9.987574338912964
[-8.11022389e-05],-8.0732581677131921624e-05,5.3330625457004783193e-06,-8.072501634167608061e-05,0.9905385603703369,0.009416048542552978,0.9908189947977056,10000,9.376542091369629
[-3.34148567e-317],-3.3040057606891237806e-317,3.411137644132468886e-318,-3.3039621921212994705e-317,0.9044901780716842,0.00527578900213173,0.9046859147436855,10000,10.04633355140686
[-2.95562356e-31],-2.9380219359103546236e-31,2.1282727546763103595e-32,-2.937658980447378382e-31,0.9710464527312673,0.0023667617205153212,0.9711476713788891,10000,9.85292100906372
[-2.99088057e-55],-2.9742578540217294399e-55,2.2022264708453481898e-56,-2.9740901135083511345e-55,0.9607190107353841,0.00329184731403277,0.9610028769423455,10000,10.472704887390137
