Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.99999795],-0.30037883924618369045,0.41368159762668654076,-0.2854713046376448464,0.9766223181919734,0.04652279681471751,0.999995868728328,165,0.15731430053710938
[-0.99999757],-0.777802160838570019,0.40273966450583472765,-0.6222083172768273085,0.9841928564389704,0.041665823269959226,0.999995503570282,128,0.12217903137207031
[-0.96085485],-0.95645583986395730667,0.06105366047841496175,-0.9558353175177864009,0.9991939745642773,0.005603611496315239,0.9994235696906839,10000,8.304554224014282
[-0.99999435],-0.4884389987147921514,0.4165312191354876122,-0.45421804312169610207,0.9823605419811575,0.041697883038249006,0.9999931355252142,155,0.15311288833618164
[-0.99999306],-0.5991916349502005205,0.45853897066332572135,-0.56583322374583250113,0.9897313546856877,0.024978805258297113,0.9999923975119537,171,0.20404791831970215
[-0.99999572],-0.36905824258415456025,0.2945814510905848547,-0.2708386937480611467,0.9807135384162731,0.06185548477605276,0.9999940306163082,117,0.12263798713684082
[-0.99999254],-0.7982042492054528488,0.30979884195826561599,-0.54324192656323043796,0.9924002965092807,0.03439287082047234,0.9999921135170351,157,0.15621042251586914
[-7.84078889e-104],-7.7195769631350229165e-104,9.447320055339453716e-105,-7.719461194013950578e-104,0.9450648938010865,0.008420803222098995,0.9456560591859579,10000,8.20399284362793
[-0.99999027],-0.70726287405203301954,0.4213276967116497825,-0.65881722093678333834,0.9774966247491604,0.07034815113371418,0.9999909961991459,214,0.2081139087677002
[-0.99999506],-0.39725081085210578807,0.48153204878242718043,-0.38305719815261377232,0.9687479553891875,0.0411304389278935,0.9999935857045434,193,0.1885387897491455
[-0.99999162],-0.48040431343315933313,0.4848563130236561766,-0.4641867084195750343,0.9786128275069501,0.04957324563393293,0.9999916414895119,214,0.26265478134155273
[-0.99996456],-0.99377627349740613134,0.0752788275517705892,-0.9935113843953186395,0.9997794684425994,0.00531673314216632,0.9999828136174348,10000,6.761697769165039
[-0.99999072],-0.5103079269666198192,0.4750635828408775964,-0.49861805031580693856,0.9667393547474239,0.04994774532273623,0.9999912043860888,203,0.2411201000213623
[-0.99975074],-0.9890058725949125989,0.10016479662987817338,-0.98846128979023432725,0.9993484945161007,0.00832930749417713,0.9999544216796067,10000,8.376036643981934
[-8.74310045e-12],-8.677125390741874476e-12,7.423811443469274556e-13,-8.676120810274288198e-12,0.9824405926764362,0.010174146579319044,0.9830797861992501,10000,7.5862321853637695
[-0.99999192],-0.6821566619651381062,0.39877461044400130908,-0.63392397274897186235,0.9912978224123682,0.025535048305712488,0.9999917961776976,157,0.22373223304748535
[-0.99999619],-0.50814299093540080875,0.42917063930199034146,-0.3780233367520406509,0.9901473473065628,0.027259626705376423,0.9999943678887465,134,0.23767876625061035
[-2.78400345e-169],-2.7422044763398316405e-169,3.284800505674339597e-170,-2.7421661508857966257e-169,0.9302106832177544,0.00390482267796202,0.93047600751279,10000,7.360081911087036
[-2.81738271e-08],-2.7740466523680686633e-08,3.3725799699805771185e-09,-2.7739513999144999055e-08,0.9853472395162957,0.0061461678798355865,0.98569688023677,10000,8.167253971099854
[-0.99999146],-0.7371261062051759431,0.411563396423634368,-0.6934934060004823512,0.9626572966463071,0.09375688967313432,0.999991565599883,184,0.2413933277130127
