Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-8.10121762e-05],-8.0545436918993473286e-05,5.4728059247165601504e-06,-8.050702790427379838e-05,0.9907405479259214,0.0006090412722124007,0.9907760402442477,10000,8.731744289398193
[-7.87906449e-05],-7.825666866677845776e-05,6.1449548061857868137e-06,-7.823904982983151122e-05,0.9907964393204926,0.005584886696047949,0.9912478810835864,10000,8.740372657775879
[-0.94288842],-0.93822556341131405907,0.06454650861804743703,-0.9380498133851855723,0.9989887212974455,0.0092908922908872,0.9993007233996942,10000,8.814447164535522
[-8.74310045e-12],-8.695223618046766326e-12,6.3746680382708947453e-13,-8.694990299827959431e-12,0.9825832132728465,0.008914968957151203,0.9830001246086436,10000,8.730229616165161
[-0.999999],-0.55747204441582476336,0.44802728089313259403,-0.45146367347813135478,0.9828916925006956,0.02985636110377436,0.9999971144323031,111,0.10323572158813477
[-0.99999358],-0.46272469508154422295,0.44810723315591515235,-0.45070351835894157747,0.9833936930222593,0.05022460915474628,0.9999926834028537,121,0.11267471313476562
[-8.11022389e-05],-8.049864414462910313e-05,6.8549396794682061155e-06,-8.0494117497906245215e-05,0.9904583328988444,0.007422026608712731,0.9909033151074566,10000,9.300024271011353
[-0.9999989],-0.6666538347863601108,0.40390864530891709122,-0.5870862374671431645,0.991279422724592,0.025060635559216875,0.9999969760152205,75,0.0709843635559082
[-0.99999088],-0.68525627115333912143,0.4474961519689300447,-0.62532811411857768284,0.9802780523344773,0.06924547597950174,0.9999912798287884,117,0.1196131706237793
[-0.99999488],-0.65424402062696274655,0.45405368386982734936,-0.634052150154555281,0.988349747670756,0.035426258090584015,0.9999934692135338,92,0.09960293769836426
[-8.11022389e-05],-8.07348683727800224e-05,5.3391346769481757874e-06,-8.0718711381189915336e-05,0.9906823458031957,0.005021363730330056,0.9909156472596362,10000,8.740269899368286
[-8.11022389e-05],-8.0652081183843860686e-05,5.823508969139752451e-06,-8.062124932347486455e-05,0.9905218208409319,0.007785480843921903,0.9908391981242082,10000,8.739323139190674
[-8.11022389e-05],-8.065126018397960789e-05,5.832641768827074183e-06,-8.061478271784346176e-05,0.9906854793132108,0.0030668934061230148,0.9908893925497271,10000,8.753156185150146
[-8.11021872e-05],-8.036472861412053049e-05,7.4532156298264814965e-06,-8.0346308138628085006e-05,0.9902818749296882,0.008900704689370242,0.9909718214937829,10000,9.13253116607666
[-3.40879275e-31],-3.3885829970570244225e-31,2.5301169042935652153e-32,-3.3872009650482721356e-31,0.9710001314125147,0.007609422211184909,0.9713595317624073,10000,8.765035629272461
[-0.99999616],-0.7266517969918195646,0.41984039305144013574,-0.69684700040221743547,0.9771449428051303,0.05368447078749929,0.9999943422076398,80,0.16056108474731445
[-0.9999925],-0.60272844912527266404,0.46652336378352487654,-0.5913169635076637398,0.9690531196410309,0.08428549190836,0.999992094439408,119,0.12803006172180176
[-8.11022389e-05],-8.073290094661552741e-05,5.130869264816106314e-06,-8.070305727936498456e-05,0.9906553906283303,0.004261694232092276,0.9908994443524436,10000,9.137755155563354
[-0.99999696],-0.76406378629143413675,0.37438215004452051943,-0.7338678575965727222,0.9916916700775548,0.021416892881184205,0.9999949666283682,96,0.12393712997436523
[-8.07138477e-05],-8.013365443157685737e-05,6.626969462093745841e-06,-8.012216840999506229e-05,0.9905918454664691,0.004329790832280365,0.9908233942393203,10000,9.186287879943848
