Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-2.56584902e-45],-2.5630265851678551451e-45,8.505276700023787418e-47,-1.28151329258392757254e-45,0.9641226519123618,0.007054065177899587,0.9643555038501864,10000,12.732583284378052
[-5.68443317e-150],-5.586227518766069905e-150,7.3849109064153332665e-151,-2.7931137593830349526e-150,0.9319378899860685,0.02455745854770156,0.9344638188419329,10000,13.50801396369934
[-1.18888706e-104],-1.1881737285017098678e-104,2.9112928795207359903e-106,-5.940868642508549339e-105,0.9451150786773007,0.008819939691202015,0.9453311870375924,10000,11.43908429145813
[-4.50325712e-69],-4.3978809008693461266e-69,6.8075843745073528984e-70,-2.1989404504346730633e-69,0.9488887302528658,0.044533453787335045,0.9557456658397232,10000,11.892282247543335
[-1.65526133e-38],-1.654102647845338965e-38,4.3778767742820593173e-40,-8.270513239226694825e-39,0.9671530234785684,0.004172576862903934,0.9672583743866059,10000,12.291332006454468
[-9.20313087e-32],-9.090852669611283335e-32,1.0102992343873686683e-32,-4.5454263348056416675e-32,0.9701507173634701,0.004939531809607696,0.9706124900936408,10000,12.933398008346558
[-1.21271432e-09],-1.2122292372516840879e-09,2.424943511714283466e-11,-6.0611461862584204393e-10,0.9843952809586617,0.0021565157830996974,0.9844381752000931,10000,12.629471778869629
[-5.4513537e-121],-5.4028366561497166656e-121,5.1198602051453762523e-122,-2.7014183280748583328e-121,0.9401454366779799,0.014545187027202259,0.9414832255473393,10000,12.302825212478638
[-7.25925117e-303],-7.213416491593225786e-303,5.005657109180329026e-304,-3.606708245796612893e-303,0.9068137345517547,0.00012685205899972435,0.9068194194442514,10000,12.80652141571045
[-1.54097916e-77],-1.5399004759993890166e-77,4.0756204201505834008e-79,-7.699502379996945083e-78,0.9532123895171786,0.004823052103854672,0.9533263125088562,10000,12.864689350128174
[-8.1875028e-423],-8.048315250320098065e-423,1.05840694523148236726e-423,-4.0241576251600490324e-423,0.8880244555310662,0.014330704735949489,0.8898186148479768,10000,12.402003288269043
[-3.85089196e-228],-3.8039110741716742502e-228,4.2274235273440022778e-229,-1.9019555370858371251e-228,0.9189183896029232,0.0028920551402224835,0.919098101364734,10000,12.452333211898804
[-5.56072617e-05],-5.4324279413195707762e-05,8.343440765203816404e-06,-2.7162139706597853881e-05,0.9879492309381105,0.013641559304494292,0.989952401454881,10000,12.950079679489136
[-3.13074094e-2740],-3.0946060200910418878e-2740,0.0,-1.5473030100455209439e-2740,0.719133362450246,0.001658768838098015,0.7192248776690684,10000,12.508572578430176
[-6.67234556e-307],-6.5068713877471936396e-307,1.0376507799178541901e-307,-3.2534356938735968198e-307,0.9016176986086819,0.030644091093969966,0.9061418155209305,10000,12.337069272994995
[-1.75690677e-3228],-1.747719977713111987e-3228,0.0,-8.738599888565559935e-3229,0.6952873940453829,5.526201814924603e-05,0.6952903535703101,10000,12.583375930786133
[-1.30645997e-221],-1.305414801200442611e-221,3.6937484277497204307e-223,-6.527074006002213055e-222,0.920682422999144,0.005604931271614433,0.920822678079059,10000,12.242156744003296
[-0.10581266],-0.105772231991439580414,0.0020275450148122474285,-0.052886115995719790207,0.9958362901730461,9.802226109126656e-05,0.9958380659982897,10000,12.525115966796875
[-1.0294395e-1583],-1.0098801532682572723e-1583,1.4054394314402961691e-1584,-5.0494007663412863615e-1584,0.7847679135077569,0.014916581607988076,0.7866096805109657,10000,12.665157079696655
[-1.09342406e-3183],-1.0822896488627623226e-3183,0.0,1.2978383755656255379e-2553,0.6970167668322396,0.00589161282321902,0.6973341082692162,10000,12.668028831481934
