Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-2.43503067e-961],-2.430160612749185135e-961,1.0878892990582773498e-962,-1.2150803063745925675e-961,0.8336550370444146,0.00274311146851826,0.8337639146573615,10000,10.107869148254395
[-1.05398554e-06],-1.0526153561563870734e-06,3.797727965932431256e-08,-5.263076780781935367e-07,0.9872038422613976,0.006832632819084425,0.9874053585167523,10000,9.884268283843994
[-2.72504576e-568],-2.723138224129289767e-568,7.207269512629420754e-570,-1.3615691120646448835e-568,0.8721232690054227,0.0028148119832642786,0.8721968301139096,10000,9.89968204498291
[-2.76826009e-47],-2.7643845240953653572e-47,1.035062775157157701e-48,-1.3821922620476826786e-47,0.9635577214820813,0.007464746784970143,0.963814105782445,10000,10.088329076766968
[-6.4530355e-14],-6.450454287386149162e-14,1.2903489530799875778e-15,-3.225227143693074581e-14,0.9806123205433153,0.004881862879660267,0.9807099773342204,10000,9.88418698310852
[-1.46571175e-97],-1.465167503033062679e-97,2.720700786043193157e-99,-7.8510733732633135665e-98,0.9474495210544701,6.299493217733393e-06,0.94744964706954,10000,10.537291526794434
[-4.22744459e-33],-4.2270218408297299854e-33,4.2272332077744244362e-35,-2.1135109204148649927e-33,0.9695873291369388,0.0005991656362674062,0.969593321092907,10000,10.173140525817871
[-9.42241904e-108],-9.3894405754995332914e-108,5.564614567586260842e-109,-4.6947202877497666457e-108,0.9442410855428333,0.006873800330695769,0.9445256968921828,10000,10.280535459518433
[-5.52405269e-3604],-5.5235002810397703384e-3604,0.0,-2.7617501405198851692e-3604,0.6779645541758916,0.0006739692536770306,0.6779712942054386,10000,10.278632164001465
[-3.70290384e-50],-3.7006820941730905953e-50,9.0675034901855264905e-52,-1.8503410470865452976e-50,0.9625010976006695,0.0009128811148597587,0.9625232915216619,10000,10.242987155914307
[-7.42716992e-05],-7.416771886493647985e-05,2.7770465449461722876e-06,-3.7083859432468239924e-05,0.9902372906759396,0.006392518680466827,0.9904455443383166,10000,10.152920007705688
[-2.75854906e-10],-2.7548989607870039728e-10,9.669108152560899258e-12,-2.4151209962128312538e-10,0.9835945874176311,0.003422640625659015,0.9846275755234649,10000,9.606741428375244
[-6.08247808e-1323],-6.0812615852363683065e-1323,8.601062759465341022e-1325,-3.0406307926181841533e-1323,0.8049609748498886,0.0010714965200486445,0.8049758019611433,10000,9.840110540390015
[-3.13048242e-733],-3.1292381104231503592e-733,6.220310243080127984e-735,-1.5744676552566208624e-733,0.8548335957014995,3.788839357350434e-06,0.8548336714934467,10000,10.197365283966064
[-6.75975176e-842],-6.758399809908262834e-842,9.558776596570332788e-844,-3.379199904954131417e-842,0.8445476630972522,0.0004270863306703594,0.8445537036141452,10000,10.124505996704102
[-1.56318945e-152],-1.5627204892170313573e-152,2.7071173834199428344e-154,1.0153382640674383991e-121,0.9338775944109071,0.0020538317227316158,0.9339061101545737,10000,9.779705286026001
[-2.9167075e-1294],-2.9164158248688379262e-1294,2.91656165659755217e-1296,-1.4582079124344189631e-1294,0.8070420064211842,0.0018386222553819019,0.8070603935631182,10000,8.797115325927734
[-9.53919413e-4268],-9.483257805040800811e-4268,0.0,2.0573570406422130871e-1720,0.6494849154510822,0.0015652876456186645,0.6495656879582736,10000,9.59052062034607
[-7.27403693e-118],-7.2594888556177402236e-118,3.249793532669050761e-119,-3.6297444278088701118e-118,0.941605246434806,0.009739024658512795,0.9420340755554775,10000,9.973848581314087
[-8.2794807e-72],-8.2703732718133441014e-72,2.744482382520693919e-73,-4.1351866359066720507e-72,0.9548178604036459,0.0018045881179452716,0.9548776640199522,10000,9.426051139831543
