Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-6.51962757e-559],-6.5163677553216230845e-559,1.4574685394208237129e-560,-3.2581838776608115422e-559,0.8734258885801295,0.003813197369702903,0.8735111750311263,10000,10.923205375671387
[-4.71669412e-4527],-4.707298679770346938e-4527,0.0,8.3928032385521109555e-90,0.639062563648489,5.238867196332297e-05,0.6390639618997553,10000,9.51526165008545
[-1.59581692e-1171],-1.5954977579624720331e-1171,2.256600239354458834e-1173,-7.9774887898123601657e-1172,0.8164169850301701,0.001144910429289014,0.8164331781281288,10000,9.10359001159668
[-2.9216813e-1814],-2.9205126252210896263e-1814,5.8421938060706441205e-1816,-1.4602563126105448131e-1814,0.7715641721658892,0.0014183768232846595,0.7715919088589197,10000,9.08548617362976
[-2.68355541e-2120],-2.680603494993541804e-2120,8.895449848202708116e-2122,7.99801382759990328e-1120,0.7530380704472879,0.0005295987080979326,0.7530548775023371,10000,10.870791673660278
[-1.18251824e-1058],-1.1819269819022446207e-1058,2.643530041115834446e-1060,-5.9096349095112231033e-1059,0.8254656490605911,0.0038129132995506107,0.8255509272321448,10000,10.738358497619629
[-2.71249586e-3524],-2.7089696187231550416e-3524,0.0,2.7956428018286088219e-822,0.6814298832984654,0.003464743430885943,0.6815489017152025,10000,9.809488773345947
[-2.57520829e-33],-2.5746932519297256677e-33,3.641530287067685212e-35,-1.7234738550210476908e-33,0.9695481946786269,0.0005846491073301704,0.9695564536737407,10000,9.87453007698059
[-1.62741871e-324],-1.6254658074878259567e-324,5.6341602399715445392e-326,-8.1273290374391297835e-325,0.9035063216416361,0.0029724830759923593,0.9035879955628551,10000,9.554924249649048
[-1.95251101e-1206],-1.9505584957210143419e-1206,6.1712939746552245343e-1208,-9.7527924786050717096e-1207,0.8136993217389525,0.0009360727929468073,0.8137259012896088,10000,10.047303915023804
[-5.58455849e-3044],-5.5761816520847491945e-3044,0.0,-2.7880908260423745973e-3044,0.7040689947900591,0.00031547122826444446,0.7040801036645583,10000,9.890178442001343
[-1.80789851e-489],-1.8075369317287360222e-489,2.5564989060154041477e-491,-9.037684658643680111e-490,0.881492465129237,0.0010469641799735565,0.8815072495968748,10000,9.968271017074585
[-5.68698964e-989],-5.6824400527482086987e-989,1.60788003869107790095e-990,-2.8412200263741043493e-989,0.8313716246273732,0.0012863938661079807,0.8314006112593257,10000,9.62172555923462
[-1.06594528e-2645],-1.0633870160608095517e-2645,0.0,3.5653712807914386073e-1365,0.7240676446294148,0.0010742145549293624,0.7241135463492943,10000,9.718737363815308
[-5.63710558e-2583],-5.6371055805149527588e-2583,0.0,-2.8185527902574763794e-2583,0.7273883733572296,2.220446049250313e-16,0.7273883733572298,10000,9.883289575576782
[-4.91667649e-3127],-4.914709818704801357e-3127,0.0,-2.4573549093524006785e-3127,0.7000188103790334,0.0009067499267692216,0.7000364447431557,10000,10.204298496246338
[-1.59446871e-4218],4.029462602214156976e-728,4.029261124046966158e-726,2.2547614553417146977e-482,0.6516221065557273,0.002258965457476097,0.8557068946454401,10000,9.860489130020142
[-2.92996604e-631],-2.9290870481107287857e-631,5.0740887575254181957e-633,-1.4645435240553643929e-631,0.8653981782679966,0.0025604380218598177,0.8654366408452239,10000,9.203077793121338
[-4.80839768e-2436],-4.807916843275785791e-2436,4.8081572571491403474e-2438,-2.4039584216378928954e-2436,0.7352542411642342,0.0009109587023670197,0.7352633512067713,10000,10.387438535690308
[0.],0.0,0.0,1.7255671293623155701e-4014,0.5233899855506579,0.0,0.5233899855506579,10000,10.018639087677002
