Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.9999934],-0.6513043329690908895,0.46386861569627862068,-0.60579971443534632886,0.9739453029891937,0.061712951966063946,0.9999925844630272,125,0.11332035064697266
[-0.65396621],-0.6501510190945263698,0.047221539074760046004,-0.65006981582181500484,0.9978971989671627,0.005162133357952708,0.9981342724303358,10000,9.53057861328125
[-8.74310043e-12],-8.6903544248685132085e-12,6.563988273590841498e-13,-8.68654639459353472e-12,0.9826990156482492,0.006016576228046188,0.9830300685701885,10000,9.825660943984985
[-1.81604981e-12],-1.800406487078409215e-12,1.6304136582553757139e-13,-1.8003053332305697484e-12,0.9822077440155427,0.010350941245611206,0.9826705906140304,10000,9.953712701797485
[-2.37899646e-112],-2.3573922604582787544e-112,2.0340078067379862438e-113,-2.3564944938125418066e-112,0.9431583034597939,0.006281830411862414,0.94346898245702,10000,9.476815938949585
[-1.41781456e-479],-1.4092203712656152272e-479,1.0589749062863822009e-480,-1.4084432803557521171e-479,0.8824550408915395,0.008929439938153193,0.8828413928780023,10000,9.412716150283813
[-9.87762194e-92],-9.754958396063140798e-92,1.05058160625539556385e-92,-9.754634159365224295e-92,0.948848259823439,0.008151169094810371,0.9492585245059643,10000,9.989723920822144
[-0.99999283],-0.57092644664584610943,0.4375924636099003395,-0.5429464026738371261,0.9309279737564947,0.1261134097088465,0.9999922675768418,141,0.1277604103088379
[-7.09820992e-12],-7.0660741101570893663e-12,4.378582790499286161e-13,-7.0624014322866689954e-12,0.9826845349609965,0.0051678046981237895,0.9831046094996198,10000,8.91650676727295
[-0.99999045],-0.64528335209567407824,0.44214259193722741005,-0.57643752288428580657,0.965830486469028,0.07668191958877926,0.9999910798866014,134,0.24268293380737305
[-1.90662401e-101],-1.8900881711937445251e-101,1.6078975658619149005e-102,-1.8896755620387486774e-101,0.9459043569518395,0.009660990924606202,0.9463500052062959,10000,9.9523286819458
[-1.29653976e-601],-1.282225588542924365e-601,1.2932856128598412957e-602,-1.2821918644438895819e-601,0.8684453760650007,0.001401001784847841,0.8685036314039816,10000,9.343477487564087
[-0.74855412],-0.7424600179507762786,0.06262642455562641382,-0.7421468373871404747,0.9979879457699422,0.009999164961238472,0.9984550905944306,10000,9.553682327270508
[-3.00260823e-47],-2.9767984619940740887e-47,2.6281375250338931822e-48,-2.9766102158927225058e-47,0.9633315045175884,0.006285460756027922,0.963683704032584,10000,9.246408700942993
[-3.259241e-58],-3.2187742221525067436e-58,3.5110553469061586314e-59,-3.21869723042640636e-58,0.9591625802147402,0.004651554125896397,0.9594481307282987,10000,9.55500054359436
[-0.99999237],-0.48309258262479656988,0.4743930087320498467,-0.46359662124074006392,0.9693071713876803,0.0734282144613081,0.9999920283188837,95,0.16643357276916504
[-1.35839469e-211],-1.3409481143499851351e-211,1.4806713069266405055e-212,-1.3409152407063882936e-211,0.9220172537843732,0.0015912151257002054,0.9220987767424983,10000,8.735645771026611
[-8.11022389e-05],-8.0489751888755582804e-05,6.8363124060578540426e-06,-8.046401093531881566e-05,0.9904732226854241,0.006718739564196124,0.9909669199384362,10000,9.00042200088501
[-0.99990868],-0.9977295423976250894,0.030048726822173462815,-0.9961996864791955536,0.9999366005720877,0.0017605811954896822,0.9999724128099576,10000,9.091618537902832
[-8.11022389e-05],-8.0595424804386181633e-05,6.2987317269156537027e-06,-8.05898915311103551e-05,0.9905077171357807,0.00513658579269135,0.9908815010114274,10000,9.286078691482544
