Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.99982632],-0.9950048265222656356,0.065783051493163454605,-0.99439590542383811866,0.9994923645524193,0.010388199111484864,0.9999619551806588,10000,8.371660709381104
[-0.99999548],-0.72020585415908935586,0.4308510381573312508,-0.64693190303459299187,0.9858903253054399,0.03679772892697153,0.9999938596651571,283,0.3034489154815674
[-0.99999265],-0.4149813936745772099,0.47417959196171364996,-0.409226170364798432,0.9521203340803529,0.08747397900653472,0.9999921752374846,273,0.29342007637023926
[-0.99999963],-0.4380497436810481391,0.46429313646563280274,-0.41376615886010679684,0.9115938875846237,0.15810616542750716,0.9999982528164765,297,0.3888838291168213
[-0.99999365],-0.66212048593435353627,0.45706969734810782609,-0.650390949977732938,0.9836522130499015,0.05872602030982242,0.9999927242288655,212,0.24782752990722656
[-0.99999177],-0.75327006280177140465,0.3947043223164990111,-0.7146044751435833881,0.9860723677516383,0.05260186629125503,0.9999917176835875,197,0.23500490188598633
[-0.99999197],-0.59718940900127511054,0.43073016230133210822,-0.45958978203279773317,0.9651099398790153,0.07479224536994125,0.9999918189757648,94,0.17159271240234375
[-8.11022389e-05],-8.022074298049012327e-05,8.016119245037121649e-06,-8.019082141700380502e-05,0.99026893996499,0.009492355500347915,0.9910432880183005,10000,8.225826025009155
[-0.99999749],-0.71300906003118227216,0.42921570124937508196,-0.6937081846278006525,0.9823154348812007,0.04612544512737892,0.9999954231649368,202,0.21928095817565918
[-4.55211538e-12],-4.43195073547764457e-12,6.2034638714555008244e-13,-4.4304381612879990335e-12,0.9823704417204282,0.0068942644542497565,0.9828942364871515,10000,9.22424578666687
[-0.9999983],-0.67145574624942984144,0.46534603353864887056,-0.63324973881395002327,0.9578699696603977,0.08596379317864201,0.9999962363576135,225,0.3310096263885498
[-0.99999016],-0.50923081925646484244,0.48757202453425303588,-0.49973724126009804318,0.9503400506651959,0.09612223997038426,0.9999909430227506,371,0.3772869110107422
[-0.99999329],-0.5423202694501241651,0.4867058520020602711,-0.5276211221103732467,0.9475729336569132,0.08702889220886365,0.999992519841098,229,0.31564807891845703
[-0.99999575],-0.6009583885441595942,0.47454058177323176005,-0.5958697259656597081,0.9879841740871719,0.017246063164799704,0.99999404706616,198,0.21035313606262207
[-0.99999759],-0.80798678476705573895,0.37016835566261492026,-0.7270908114045255431,0.9748297068559605,0.059141286629302854,0.9999955148665446,211,0.2375035285949707
[-0.99999711],-0.6107291482154403374,0.4665553950377559046,-0.5812680897135314913,0.9843632885953505,0.046305733265357224,0.9999950914826721,231,0.3029046058654785
[-1.34877237e-653],-1.3028858797239246127e-653,2.3837959489837595123e-654,-1.3028418814697345197e-653,0.8618196525362957,0.014143165137074842,0.8629522740234657,10000,9.866889476776123
[-0.99999135],-0.6110614485578394661,0.43549314987932548893,-0.55215604532916363266,0.9873943184690941,0.03903717192550054,0.999991511849167,191,0.2441425323486328
[-0.99999296],-0.588092627043937635,0.47281319932076258124,-0.58029795353114115757,0.9785001625038187,0.05973544428334274,0.9999923406249792,182,0.3014242649078369
[-0.99999398],-0.65273657295839037425,0.41289593706253531152,-0.6068701575682958799,0.9862065650282402,0.03663549274495213,0.9999929189215354,159,0.29181599617004395
