Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.99999316],-0.69298873566330186576,0.39721044279682503998,-0.5758665180711626334,0.9832011558239994,0.04592648511792255,0.9999924490639092,366,0.2940044403076172
[-0.99999903],-0.8061641436202271683,0.28521852345847060716,-0.7643422653029348799,0.9940344763952593,0.0165374423020936,0.9999971622392321,318,0.2632741928100586
[-8.74310045e-12],-8.66204050369200255e-12,7.7982062638633244694e-13,-8.636056980991118137e-12,0.982754298473937,0.0030563873334266164,0.983189089180314,10000,5.641420841217041
[-0.99999262],-0.47200666977177379392,0.46997154738880780308,-0.4531752619250758663,0.9690857653343202,0.08742196329719716,0.9999921598327159,616,0.4658830165863037
[-0.99999347],-0.648121532352159683,0.3319659994148640233,-0.4946155071094088162,0.983086343072223,0.05146556346013437,0.9999926259073569,369,0.29411935806274414
[-0.99999328],-0.43464132229926977837,0.47079833989859175107,-0.42197830192119367826,0.9360426340817527,0.11198322663395392,0.9999925149097644,345,0.3005373477935791
[-0.99999367],-0.46479845320632696108,0.42846675575971039586,-0.34839488230557864724,0.9867881646196872,0.03223353419098328,0.999992738223401,367,0.3134334087371826
[-0.99999055],-0.36218205165629582435,0.46459598116243019472,-0.33756455857041824852,0.9872214931862762,0.029932190087925616,0.9999911269047818,476,0.31513476371765137
[-0.99999999],-0.44881233444862647335,0.46914539987458104452,-0.4445450301452122498,0.9839781309281525,0.04699993316980109,0.9999996938868777,689,0.46014952659606934
[-0.99999027],-0.8132632673136515778,0.34601575755002822744,-0.77748232345215894827,0.9877725315619799,0.04388715326701975,0.9999909949359942,338,0.23305034637451172
[-0.99999449],-0.6947427374526339506,0.35485568164468648394,-0.49930841738954945779,0.9855287117647232,0.03681004906407252,0.9999932228209029,445,0.2689223289489746
[-0.99999297],-0.6854500448219936981,0.34555974216902931526,-0.59482887832720372204,0.9953914013355756,0.022101494373075122,0.9999923446777028,376,0.28151512145996094
[-8.11022389e-05],-7.853010736614785164e-05,1.40358524349749440884e-05,-7.836270120006461731e-05,0.9899273492065368,0.007174076574880529,0.9909408972788268,10000,5.794638395309448
[-0.99999135],-0.30660880062714767082,0.44862184767206234683,-0.30156587284517834776,0.9483262912967496,0.08302851614974081,0.9999915112125413,508,0.3168447017669678
[-0.99999088],-0.4105874287106807135,0.48642534667264268207,-0.39217493151006115236,0.990005109168115,0.024574856907612522,0.9999912805129045,336,0.2825798988342285
[-0.99999072],-0.50248051766836211165,0.29035780502284070772,-0.34631788161810951243,0.9876236756917582,0.031455310322455576,0.9999912073147055,426,0.34281229972839355
[-0.9999988],-0.55120836843693303466,0.47882568289796577528,-0.50410647287467079966,0.9882169959853802,0.02096655047649319,0.9999968341853188,742,0.4536855220794678
[-0.99999452],-0.5607609898210044378,0.48662014828111333048,-0.49675712091126570912,0.968610416113173,0.05843885992315683,0.9999932403278814,322,0.2663125991821289
[-0.99999717],-0.3665806150901964079,0.46431470943348519413,-0.33286412994083693705,0.9926281986511877,0.007840647453502835,0.9999951445898647,350,0.28999996185302734
[-0.99999166],-0.7526422837498967887,0.41887649302050821175,-0.7044281013179672229,0.9841444339594303,0.03365204458190366,0.999991662762276,326,0.28424549102783203
