Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.99999006],-0.6761958498769014324,0.43260319946247588355,-0.62696048813255009403,0.9905321722811326,0.031837757225747054,0.9999908968790638,144,0.16757488250732422
[-2.02947817e-143],-2.0127049100761871859e-143,1.8112846406997139947e-144,-2.0123507226300625022e-143,0.9362602216456036,0.0038295416742760604,0.9365120673646052,10000,10.382214546203613
[-0.9999952],-0.45507868160867178688,0.46577947201390357913,-0.43059686188879799844,0.9570701087240544,0.0718338639962475,0.999993672965875,76,0.08588671684265137
[-0.99999894],-0.43339164377787869453,0.45882707975723161032,-0.41778574710013012246,0.9724954743181916,0.03635905406024532,0.9999970236596486,78,0.09182333946228027
[-0.99999471],-0.5983764864441466004,0.46614495915110756264,-0.57686126139747520976,0.9878300753135182,0.019747013719843876,0.9999933580248327,97,0.1228327751159668
[-0.99999357],-0.54741732615972603447,0.44687128947846226155,-0.45528813171279989725,0.9776201567143278,0.05179418100672962,0.9999926780784799,120,0.16183686256408691
[-0.99999441],-0.6866453459152702561,0.42304933093919287003,-0.6533832594351947042,0.9946363242285852,0.013152590860908996,0.9999931763309453,110,0.12961077690124512
[-0.97611512],-0.96817719066281323145,0.083091318297798772386,-0.96798456390881483714,0.9992943503892154,0.00469046012091357,0.9995512652511861,10000,10.442490100860596
[-1.96275208e-410],-1.9355186313888622876e-410,2.2214637439069158798e-411,-1.9354894687108451726e-410,0.8912700544961696,0.0038342611079938975,0.8914240431586677,10000,10.1860511302948
[-8.11022387e-05],-8.057089321749431049e-05,6.4035935055066728375e-06,-8.056437001509459e-05,0.9907505839807084,0.0016017442340652065,0.9908229299157086,10000,10.387391328811646
[-0.99999314],-0.6036295007879067458,0.4414086278987675512,-0.5626185554988919198,0.9817315637709535,0.044766597505895116,0.9999924410072941,104,0.13464951515197754
[-0.99999788],-0.5274499480430201597,0.4796626009884052007,-0.5052760475344688808,0.9773338384566703,0.052072692045452035,0.9999957929675005,123,0.22006702423095703
[-0.99999573],-0.6189357883837277906,0.48222603465003799114,-0.6116718439631956471,0.977219301370676,0.056036496584745486,0.9999940331540249,143,0.19862127304077148
[-0.9999996],-0.57801642366766815183,0.45899885104058844585,-0.5558191247174522377,0.9699866394328391,0.05990732625654326,0.999998184559525,122,0.16617631912231445
[-0.99997147],-0.99363147598697723097,0.07863784794309080534,-0.99358265134501044623,0.9994631688030681,0.010383581164572418,0.9999845814588159,10000,10.393200874328613
[-5.18871088e-55],-5.138365778770500788e-55,4.9374690212323857484e-56,-5.1361664306858175357e-55,0.960005784743145,0.01195254932976373,0.9609760154179442,10000,9.32246708869934
[-0.99999479],-0.58809441655898991316,0.46603885810406201967,-0.57364405021105749946,0.9736933810679074,0.07146592969531697,0.9999934094157092,122,0.14240717887878418
[-8.11022389e-05],-8.050990375394764234e-05,6.590062185374701172e-06,-8.043955883935620736e-05,0.9894733448927462,0.023075403975642138,0.9908679737199614,10000,10.200033187866211
[-1.86347822e-91],-1.8391450859325406879e-91,1.9941698413684945315e-92,-1.8387617249885350984e-91,0.9492772151702793,0.0030026542888607027,0.9494752668126775,10000,9.802738428115845
[-0.99921125],-0.9938638245638750803,0.07254545933769687263,-0.9927541968460297185,0.9997333757539026,0.004744541869015511,0.9999189117032944,10000,10.295464754104614
