Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.999991],-0.71231570089656181654,0.3727076337820396845,-0.63556317996298360205,0.9802848145523476,0.06061516653697661,0.9999913416328562,129,0.10622668266296387
[-0.99999928],-0.3591425002723233735,0.4610161721951983545,-0.34441485320604574278,0.9887589936922616,0.026795744453362837,0.9999975437842611,119,0.11397504806518555
[-4.46509442e-07],-4.4087547606899029783e-07,4.8298247089759751846e-08,-4.4084232674970986162e-07,0.9866262348067963,0.009309667215695379,0.9872968564535278,10000,8.766311645507812
[-3.45405738e-05],-3.415191528130179214e-05,3.4549602657443068787e-06,-3.414802406708954875e-05,0.9891410957668051,0.006887167635763444,0.9895671688128604,10000,8.715235233306885
[-0.99999601],-0.5770995361714021584,0.4635113070919473861,-0.55172491061827207934,0.9587321703711644,0.06275016991543357,0.9999942343483813,164,0.13023114204406738
[-7.48045778e-05],-7.417838720804224317e-05,5.9605623109895783085e-06,-7.414160398356178648e-05,0.9898924227444098,0.009328256636820756,0.9905098764421739,10000,8.77653694152832
[-3.40566553e-31],-3.3681586787011232017e-31,3.3116394178865343622e-32,-3.3668681732974266301e-31,0.9710480785323965,0.005887013258371563,0.9713274930296857,10000,8.774982929229736
[-0.99999807],-0.5932036237918645616,0.45686162729293262714,-0.54866871157223408973,0.9807518399730262,0.05592537996143085,0.999995985422675,149,0.12066340446472168
[-8.11022389e-05],-8.0585844857987725775e-05,6.113599954164903884e-06,-8.054947516988959304e-05,0.990577240819422,0.0054450318494525165,0.991225539310525,10000,9.320939302444458
[-7.99814997e-05],-7.911843849812306525e-05,7.5933543665313441064e-06,-7.904576335058802526e-05,0.989862911531059,0.010550396343528202,0.9908345657614639,10000,8.722664833068848
[-8.60966479e-12],-8.488405786640583167e-12,9.836405823895065609e-13,-8.483887191633915444e-12,0.9820871890367229,0.010876501994935055,0.9830384499089152,10000,9.40097451210022
[-0.99999666],-0.7428326164285627126,0.35464654595790384052,-0.6098728261089934198,0.9941773598062265,0.027620469080437214,0.999994728010623,105,0.08510375022888184
[-8.11022389e-05],-8.00856365899470354e-05,8.946014773559991619e-06,-8.008042906089211198e-05,0.9905441963103218,0.005291939122194764,0.9908318743819999,10000,9.208079814910889
[-4.53654204e-66],-4.4890560570154917717e-66,4.492968591043427773e-67,-4.4863469004656555943e-66,0.9568676102831436,0.010008393492044586,0.9574134080663202,10000,8.711455583572388
[-0.99999106],-0.6741010834264519337,0.45485777771998204156,-0.6323533884155159667,0.9749919181378974,0.04941600528556123,0.9999913694729059,125,0.1342623233795166
[-8.11022389e-05],-8.049767206319401947e-05,6.7317715855472299286e-06,-8.0467682023108557796e-05,0.9904331740874422,0.007197283845442528,0.9909749832119497,10000,8.740320444107056
[-5.68483141e-12],-5.6242462150668684486e-12,5.4243857923588428386e-13,-5.6223084431653997048e-12,0.9821325131711061,0.010479659543763535,0.9829350954434446,10000,8.740433931350708
[-0.99999982],-0.5850001596587972591,0.45004869715998914017,-0.57112250472465924355,0.9760108758941438,0.055030389810281716,0.9999987847476707,142,0.1431417465209961
[-0.99999415],-0.41270451848530616845,0.47582812007998085156,-0.40242288212877461853,0.967305222112912,0.06681340635075407,0.9999930157681817,147,0.12461495399475098
[-3.37656273e-06],-3.3393271061610406175e-06,3.45824665347577582e-07,-3.3381505520506349355e-06,0.9874353456762377,0.009395467455748898,0.9882722818535755,10000,9.32819652557373
