Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-2.33812623e-12],-2.3318132890815133345e-12,1.2132847686745899137e-13,-1.1659066445407566672e-12,0.9813945158565002,0.01192691481049597,0.981904825451605,10000,11.076162815093994
[-6.35798939e-1130],-6.3548103994919280345e-1130,1.4213341817118834045e-1131,-3.1774051997459640172e-1130,0.8197041448034824,0.003240757738609717,0.8197465405801382,10000,10.357187747955322
[-3.2363015e-13],-3.2324179373390876556e-13,1.120414151110062969e-14,-1.6162089686695438278e-13,0.9811393525951242,0.0055024275980743165,0.9812309972990878,10000,11.49391794204712
[-8.53821983e-234],-8.5322430774688361137e-234,2.2582098426622112336e-235,-4.2661215387344180568e-234,0.91811654065689,0.0012769337393023785,0.918150336978822,10000,11.161968469619751
[-6.12449967e-45],-6.1073510704136656734e-45,3.2362403327650417153e-46,-3.0536755352068328367e-45,0.9641913824548907,0.00981340496250318,0.9644829659574965,10000,11.729202032089233
[-1.25056126e-1169],-1.249935977237814297e-1169,2.7956408102145593162e-1171,-6.249679886189071485e-1170,0.816594789744905,0.00320360894439287,0.8166360446363583,10000,10.317493200302124
[-3.72374415e-131],-3.7174137884143232956e-131,1.5340334534525405527e-132,-1.8587068942071616478e-131,0.9384920262471215,0.009861210088453228,0.9388208958721613,10000,9.633247137069702
[-1.06227704e-05],-1.0602451428577868292e-05,4.6263955736716955623e-07,-5.301225714288934146e-06,0.9886652593304752,0.002855467448416503,0.9887731142039619,10000,11.168673276901245
[-2.06763173e-507],-2.0674249632052330288e-507,2.0675283422068830286e-509,-1.0337124816026165144e-507,0.8792937672867361,4.957936724607565e-05,0.8792942631052002,10000,11.976903676986694
[-4.64036024e-40],-4.6389681308968307612e-40,8.0361340079274012066e-42,-2.3194840654484153806e-40,0.9662893288079707,0.005264949255213197,0.966370511809242,10000,10.834728956222534
[-1.33068604e-1156],-1.3300206940360576351e-1156,2.9747604664471979583e-1158,-6.6501034701802881756e-1157,0.8175733142927615,0.0032144488702825972,0.8176148220966295,10000,10.90020489692688
[-1.92742464e-1129],-1.9264609267904986184e-1129,4.3087749167128678605e-1131,-9.632304633952493092e-1130,0.8197398984973421,0.0032418360353060815,0.8197823878896255,10000,11.339340925216675
[-5.00422088e-1124],-5.0017187671511658056e-1124,1.11869802624326158407e-1125,-2.5008593835755829028e-1124,0.8201816775436415,0.0032479516129865567,0.8202244262896701,10000,10.286360502243042
[-1.75909123e-1151],-1.758211681567373931e-1151,3.9324640777585361422e-1153,-8.791058407836869655e-1152,0.8179904763188284,0.003221858215310391,0.8180324516468042,10000,11.296197891235352
[-1.21508562e-494],-1.2149641155640891408e-494,1.2150248683263624883e-496,-6.074820577820445704e-495,0.8807768024333315,7.897200030636048e-05,0.8807775921928235,10000,10.998626947402954
[-2.89549689e-1154],-2.8940491441208885476e-1154,6.4729090460699032183e-1156,-1.4470245720604442738e-1154,0.8177510864876032,0.0032153095179385223,0.8177924927480478,10000,10.122851848602295
[-1.18446459e-536],-1.1843461401353123862e-536,1.1844053618839873173e-538,-5.921730700676561931e-537,0.875858060791708,3.379732608461544e-05,0.8758583987818684,10000,12.411393165588379
[-0.55807543],-0.5558431289681920818,0.03522512692873314262,-0.2779215644840960409,0.9972952750854635,0.012292242865300623,0.9978081454554416,10000,11.395010471343994
[-1.21744652e-1149],-1.2168377948870113767e-1149,2.7216125151587534968e-1151,-6.0841889744350568835e-1150,0.81813846776342,0.0032241743382629344,0.8181805658748731,10000,11.738932132720947
[-3.06768139e-1131],-3.066147546051616504e-1131,6.85782901362973905e-1133,-1.533073773025808252e-1131,0.8195922107579485,0.0032417952351934376,0.8196348590176081,10000,12.074022769927979
