Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.99999547],-0.09073102669139107866,0.25347395365842928614,-0.069851173328961119924,0.9466990680663112,0.10935039448159103,0.9999938576071106,80,0.07748293876647949
[-0.99999848],-0.41021157052401269018,0.4642446474799739721,-0.39771016683097316346,0.9607066166438728,0.09655781720429814,0.9999964454722291,108,0.10243391990661621
[-1.83729423e-91],-1.822093161363029461e-91,1.633133661317902774e-92,-1.8219635489952093828e-91,0.9491813688937675,0.009192109093610788,0.949507052368224,10000,8.556868553161621
[-0.9999972],-0.6145745933701964453,0.4703337238867006681,-0.59121873259874992943,0.9632132848427989,0.10029957857985014,0.9999951717604998,101,0.11275315284729004
[-0.99999416],-0.5644922159198925186,0.47589623011559761698,-0.5332329475775711895,0.9674523409901442,0.09476872122577196,0.9999930238814423,115,0.09325671195983887
[-1.92902458e-45],-1.9067238012613885496e-45,1.9779833814363662197e-46,-1.9061582947136924808e-45,0.9634920264710422,0.01588256454529872,0.9643849068708175,10000,8.07759404182434
[-0.99999485],-0.47004920407382296734,0.46947322416348009498,-0.4338919520223790892,0.9161992602857914,0.1381808601179122,0.9999934513412339,121,0.11388611793518066
[-0.9999912],-0.47545263940869394797,0.48816740653512220632,-0.46056473909387496396,0.9692505583781658,0.08701642421444969,0.9999914359708941,139,0.18414926528930664
[-0.99999075],-0.42059336653020409024,0.46093507686632265814,-0.4116820309785559618,0.968022523271374,0.0904046695082469,0.9999912211520189,124,0.14619946479797363
[-8.97882911e-35],-8.881661324753150909e-35,8.905214429728173598e-36,-8.8806499864697904586e-35,0.9686755794456882,0.010004701607823761,0.9691007666502431,10000,8.568202018737793
[-0.99999166],-0.36399000409308585846,0.46694193571611856955,-0.35292311899488406257,0.9577613501805914,0.1015903352255299,0.9999916656123309,96,0.1419813632965088
[-0.99999016],-0.72680192450602602297,0.41882070146515123634,-0.65980003099215482084,0.9763813589006176,0.08094522611321739,0.9999909450581135,163,0.17775368690490723
[-3.28758174e-20],-3.2595306060950756967e-20,2.9108870928844083067e-21,-3.2590523759178970146e-20,0.9760172673268392,0.009939043511615722,0.9763420800089154,10000,8.512889862060547
[-8.11022389e-05],-8.0544265598773946116e-05,6.5412739354668308995e-06,-8.0532815646474301046e-05,0.9903380310275517,0.010887275039606282,0.9910128514620498,10000,6.644893646240234
[-0.99871601],-0.99292102980391184016,0.07485309344814913113,-0.9928226178264272654,0.9995018171244395,0.010746475170151572,0.9998965289180727,10000,8.133641719818115
[-8.11022389e-05],-8.067703633915147484e-05,5.5103959859901154037e-06,-8.0638125618429587274e-05,0.9904755071193424,0.01042630545700668,0.9912531163734004,10000,8.501083135604858
[-0.99857311],-0.9937787269483932509,0.06255302918784112909,-0.9919246332181088575,0.9995003478618113,0.010847846565929757,0.9998909193625181,10000,8.5303955078125
[-6.69951286e-32],-6.630815686129359018e-32,6.2874479564525861354e-33,-6.629905159566682987e-32,0.9703314533052806,0.009760843423558027,0.9706294830714424,10000,8.772099018096924
[-0.99999967],-0.5852837923555589674,0.47287484230284170612,-0.55921209597313530635,0.9693392178960882,0.09229573070003294,0.9999983385704592,122,0.1362602710723877
[-8.11021153e-05],-8.079228182311410034e-05,4.803662626366710071e-06,-8.075215723270358776e-05,0.9901289972549868,0.01626712507348063,0.9908243524927415,10000,8.977309226989746
