Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-6.06169724e-244],-5.997791623984242661e-244,6.165898123740148903e-245,-5.9948711279334071786e-244,0.9163488023261646,0.0035292926473852715,0.9166272705526319,10000,10.019886493682861
[-8.21693479e-657],-8.121559353873355542e-657,8.456390550585709551e-658,-8.12069985306949203e-657,0.8625857389953923,0.0013085560412748685,0.8626548138275368,10000,10.466158151626587
[-0.99999238],-0.54582529089913709374,0.4503052443714268053,-0.50454493775083964527,0.9644174168728172,0.0631618572602978,0.9999920311596169,153,0.16238045692443848
[-5.24066379e-13],-5.156690598480030087e-13,6.164912623317605979e-14,-5.1562389903367211567e-13,0.9811528328172857,0.005149073797558015,0.981425595313698,10000,9.539374351501465
[-1.11195166e-299],-1.1008113501278095337e-299,1.06424956839685292005e-300,-1.10074709150205096715e-299,0.9071951969252233,0.002579188101219712,0.9072912228716261,10000,9.094210624694824
[-2.04397659e-31],-2.0089264459669457723e-31,2.6435548997071895255e-32,-2.0087380289593989118e-31,0.9711139826350794,0.004672905947590342,0.9714409725478902,10000,9.793678522109985
[-0.99999936],-0.45453228784438711593,0.45023361750140864193,-0.4384001285963328781,0.9690721099785485,0.05635630108652989,0.9999976911343114,118,0.13044214248657227
[-1.26299108e-314],-1.2531748894687403002e-314,1.04228239328187410975e-315,-1.2529484782008661261e-314,0.9051634711335973,0.002596045205359384,0.905289596866302,10000,9.60896348953247
[-4.71733538e-24],-4.6699613866089312793e-24,4.456555119450034904e-25,-4.668964985101755352e-24,0.974409268596866,0.005814614147033857,0.9747214517328315,10000,9.954727172851562
[-7.8323498e-118],-7.773310277584717433e-118,6.6511000242741776904e-119,-7.771170306206842676e-118,0.9424471180646877,0.0037595542458366375,0.9426237915335967,10000,10.538726329803467
[-8.74262901e-12],-8.706727063496512886e-12,5.4457424548224452563e-13,-8.688717095995350608e-12,0.982741341248782,0.005259142493434104,0.9830838064463415,10000,10.512204647064209
[-0.99957068],-0.993740479485243983,0.074703546951898175787,-0.99243601045946325766,0.999404515437821,0.008886160937215675,0.9999401806118527,10000,9.752256393432617
[-0.99999072],-0.26375256063117588366,0.41943703189648823452,-0.2492809750585974545,0.9707176121568004,0.04481137080956597,0.9999912047543392,154,0.2617661952972412
[-1.491204e-1033],-1.4689138394846095839e-1033,1.8029961965149346811e-1034,-1.4687597246701286865e-1033,0.8274350890063739,0.004828176381557401,0.8277785423892114,10000,10.757543325424194
[-1.99998393e-287],-1.9797429160075655752e-287,1.8814186493573104573e-288,-1.9795975131591716198e-287,0.9090730257505959,0.0026740536428914354,0.9091799759031014,10000,9.911126852035522
[-2.8583231e-329],-2.8263931819334947783e-329,2.8535395082429549058e-330,-2.826103884275007677e-329,0.9027808573179227,0.002384564421832468,0.902886872505925,10000,10.118685245513916
[-7.94745638e-119],-7.864605306403380805e-119,7.503493198509918885e-120,-7.8624710026016264413e-119,0.9420306966511436,0.0037604145260124885,0.942200671334618,10000,9.620540857315063
[-8.74310045e-12],-8.6481824359457132286e-12,8.865594006231856975e-13,-8.645636906364197775e-12,0.9825161755704925,0.006538959946480788,0.9830314036282045,10000,9.71972131729126
[-2.60574724e-361],-2.5710923704294272848e-361,2.8736712826851105969e-362,-2.5708359951963497024e-361,0.8981703060396018,0.002276990290971366,0.8982632159047739,10000,10.21136736869812
[-8.74310045e-12],-8.683592028304094838e-12,7.024972044233546699e-13,-8.679431631973584533e-12,0.9827336620150458,0.00513759818925755,0.9831005173992112,10000,9.621392726898193
