Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.99999002],-0.35577332011484537946,0.4714531116911817834,-0.33604410292637356723,0.7869015914488077,0.20912950283927853,0.9999908783537618,663,0.6801357269287109
[-0.99999065],-0.75803985901956574627,0.42288816532716850502,-0.6925659297990640271,0.9710774607848923,0.09523270611113704,0.9999911715283424,273,0.27976083755493164
[-1.51557015e-1472],-1.4341578873784718015e-1472,3.1791437237863646257e-1473,-1.4337017124950720181e-1472,0.7886295571742828,0.038329468557971494,0.7943416264404879,10000,7.5223681926727295
[-0.99999961],-0.46416810025791810766,0.49323390188806831588,-0.45177941010092321532,0.970349287294858,0.06986898370803678,0.999998186168477,290,0.3379199504852295
[-0.99999846],-0.81536483476090408184,0.37382007323997981996,-0.7838157187525647191,0.9422706568098379,0.1517680611594685,0.9999964200377496,456,0.5508031845092773
[-0.99999541],-0.67053132781430824694,0.44690557847637043908,-0.6522987005341401235,0.9776215882686605,0.08583227768627157,0.9999938177203797,346,0.33803272247314453
[-0.99999849],-0.75943389492081774965,0.41724929698745683303,-0.6768434673561295103,0.9389586218325152,0.15163749889487257,0.9999964542316863,478,0.5725991725921631
[-0.99999606],-0.6913135647286938874,0.44708213514856185036,-0.67666379419928584133,0.97523923735097,0.09210807557168357,0.9999942712951265,292,0.30071353912353516
[-7.73345199e-675],-7.364699724904689895e-675,1.6172579866868573295e-675,-7.3635847458997401125e-675,0.8602115492201013,0.008362637020224864,0.8609677850406638,10000,8.280110597610474
[-0.99999047],-0.5822385580067933479,0.29622086054998740694,-0.44912930837020736594,0.9627707801992864,0.10182943823338046,0.9999910865120918,473,0.6423163414001465
[-3.59191263e-1172],-3.460682207828072483e-1172,6.2343715304287468824e-1173,-3.4573553534029783725e-1172,0.8106528203733538,0.04135512280039934,0.8165821349694316,10000,6.965534925460815
[-0.99999483],-0.8081125050670853276,0.3796504150107476832,-0.7768141265137939312,0.9401655981411642,0.15409595593755965,0.9999934383355191,440,0.4666147232055664
[-0.99999027],-0.634336828649526082,0.42630343066964720153,-0.5644451381338308012,0.9575003942206045,0.12146582817004822,0.9999909939654901,214,0.4992649555206299
[-0.99853561],-0.9887044334993461899,0.09458918668140762338,-0.98830338554979177683,0.9991616559372564,0.016276532391398084,0.9998894943743003,10000,8.23597240447998
[-0.9999929],-0.6572573537723343494,0.4550955908040143661,-0.6520848478069026126,0.9280640273136578,0.157527668913041,0.9999923087110016,427,0.6057267189025879
[-0.99999261],-0.76392438840345687,0.41489759540174193583,-0.74432009997958666276,0.982424234604904,0.07550282704866132,0.9999921535826103,449,0.6209337711334229
[-0.99999784],-0.81264276505118718133,0.38083449804947213798,-0.8049422322558262628,0.9763746389566144,0.08658907974754147,0.9999957608035487,441,0.5760674476623535
[-0.99999125],-0.6503922141584133179,0.4134461449716475507,-0.52519571196137290227,0.9338489571020787,0.15405722730300608,0.9999914607108471,449,0.7095882892608643
[-0.99999066],-0.8164967524474472155,0.35366917436812405788,-0.7855022117444527939,0.9472427196509517,0.14565420585131048,0.9999911778684293,501,0.7250361442565918
[-0.99999422],-0.6562111990548999748,0.44830094185798725974,-0.64361055090247110415,0.9300623749561887,0.15561309674325655,0.9999930575641207,440,0.5862457752227783
