Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-4.55946081e-2637],-4.5594608149074366335e-2637,0.0,-2.2797304074537183168e-2637,0.7245615163493111,2.220446049250313e-16,0.7245615163493109,10000,14.563807010650635
[-5.40795247e-1716],-5.4052484981671446224e-1716,1.2089525836531677045e-1717,-2.7026242490835723112e-1716,0.7777537972709869,0.005563002354623112,0.7778664889434485,10000,14.716203451156616
[-6.04301531e-2661],-6.0430153114854104196e-2661,0.0,-3.0215076557427052098e-2661,0.723342643360942,0.0,0.723342643360942,10000,11.606151103973389
[-4.9575942e-2681],-4.9575942003848881227e-2681,0.0,-2.4787971001924440613e-2681,0.7222669917595167,1.1102230246251565e-16,0.7222669917595168,10000,11.199162721633911
[-0.],0.0,0.0,4.1695196040862894053e-3684,0.4997533207406297,0.0,0.4997533207406297,10000,13.49213457107544
[-3.78683933e-2667],-3.7868393274345568904e-2667,0.0,-1.8934196637172784452e-2667,0.7229932600923252,0.0,0.7229932600923252,10000,12.059208393096924
[-0.],0.0,0.0,4.1695196040862894053e-3684,0.4997533207406297,0.0,0.4997533207406297,10000,13.351722002029419
[-2.4655171e-2585],-2.465517095869061796e-2585,0.0,-1.232758547934530898e-2585,0.7272783549978421,0.0,0.7272783549978421,10000,14.49616265296936
[-1.39502757e-2581],-1.3950275669901964671e-2581,0.0,-6.9751378349509823356e-2582,0.7274647807875112,2.220446049250313e-16,0.7274647807875114,10000,14.250278234481812
[-2.41030827e-2626],-2.4103082652535125353e-2626,0.0,-1.20515413262675626764e-2626,0.7251214256847328,1.1102230246251565e-16,0.7251214256847327,10000,14.176707744598389
[-2.0758403e-288],-2.0745947932433946915e-288,5.08322386245354255e-290,-1.0372973966216973457e-288,0.9088303230029876,0.00867305792014904,0.9090311505230377,10000,14.846370697021484
[-0.],0.0,0.0,4.1695196040862894053e-3684,0.4997533207406297,0.0,0.4997533207406297,10000,12.751423120498657
[-1.42226088e-2694],-1.4222608813554207553e-2694,0.0,-7.1113044067771037765e-2695,0.7215726177113861,0.0,0.7215726177113861,10000,13.920234441757202
[-2.11566433e-3439],-2.1135486642674839164e-3439,0.0,-1.0567743321337419582e-3439,0.6852240591774578,0.005868034478847855,0.6854097155722895,10000,12.292805194854736
[-1.93658444e-2691],-1.936584437941084751e-2691,0.0,-9.682922189705423755e-2692,0.7218042169408391,2.220446049250313e-16,0.7218042169408388,10000,14.369873046875
[-0.],0.0,0.0,4.1695196040862894053e-3684,0.4997533207406297,0.0,0.4997533207406297,10000,14.043314218521118
[-6.80199842e-2689],-6.8019984181661904746e-2689,0.0,-3.4009992090830952373e-2689,0.7218874988935423,1.1102230246251565e-16,0.7218874988935424,10000,14.139317989349365
[-0.],0.0,0.0,4.1695196040862894053e-3684,0.4997533207406297,0.0,0.4997533207406297,10000,13.695325374603271
[-1.6703874e-2641],-1.6693851699187286587e-2641,0.0,-8.3469258495936432936e-2642,0.7241983958010378,0.005499409162083008,0.7243331436948104,10000,14.097527980804443
[-3.6447022e-1625],-3.6417864405142871908e-1625,1.03046502356796918875e-1626,-1.8208932202571435954e-1625,0.783569728730892,0.00758518531824606,0.7837790796720607,10000,13.964546918869019
