Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-2.67750402e-309],-2.6325219502773310514e-309,3.4411666634880742e-310,-1.3162609751386655257e-309,0.9046688106021151,0.011571981423260205,0.9057891137147992,10000,10.429752826690674
[-1.57403238e-42],-1.5530977545304312237e-42,1.8031507214292331461e-43,-7.7654887726521561186e-43,0.9651041524251212,0.011328594094501824,0.9656127621474718,10000,9.876146078109741
[-1.1193917e-234],-1.0922137556324635272e-234,1.7095099326531314077e-235,-5.461068778162317636e-235,0.9172161948748586,0.0112337667792074,0.9181605469883487,10000,9.486229419708252
[-1.63741718e-1225],-1.6318499606241833308e-1225,9.531455891437913247e-1227,-8.159249803120916654e-1226,0.8121278199607992,0.005114790910189736,0.8122836183728339,10000,9.12018609046936
[-1.64454497e-70],-1.5379910532676971237e-70,4.018652514582365053e-71,-7.689955266338485618e-71,0.9527674210051742,0.016945101277834777,0.9553117831944941,10000,9.901657819747925
[-3.45446931e-49],-3.4413423288244758447e-49,2.1254280410636952103e-50,-1.7206711644122379224e-49,0.9622574782947905,0.010618398865377932,0.9626911109157209,10000,9.659174680709839
[-2.72382734e-45],-2.6617240802539966186e-45,4.065731812974364066e-46,-1.3308620401269983093e-45,0.9627746743669869,0.013643399188250029,0.9643721154583831,10000,9.141892671585083
[-8.49677236e-809],-8.4925239723290407347e-809,1.8994610148941522394e-810,-4.2462619861645203673e-809,0.847412404861083,0.007774879043421893,0.8475862999208625,10000,9.964879989624023
[-4.8933987e-229],-4.8341885718623119762e-229,5.3500738859905012453e-230,-2.4170942859311559881e-229,0.9179223115183409,0.012078350480015489,0.9189599780915162,10000,9.787146806716919
[-1.81640889e-36],-1.7858932223205062326e-36,2.3344748231858412932e-37,-8.929466111602531163e-37,0.9675693500437587,0.011451100647254327,0.9681107290116236,10000,9.541807413101196
[-0.55037244],-0.52830745132463094216,0.10749799919259102151,-0.26415372566231547108,0.9945461049533632,0.02172938520111863,0.9977887388934001,10000,10.725957155227661
[-4.20814275e-64],-4.130871394567036946e-64,5.3974154212653109516e-65,-2.065435697283518473e-64,0.9559706806367926,0.017329069170468645,0.9573107345775814,10000,10.13614797592163
[-9.12558226e-20],-8.884863413849272786e-20,1.445659936545186779e-20,-4.442431706924636393e-20,0.9756270568427572,0.011552433166888473,0.9766567989631185,10000,9.905898332595825
[-5.07894108e-55],-4.97344136868444561e-55,6.9906199819466949598e-56,-2.486720684342222805e-55,0.9592374569925473,0.016292245802958304,0.9609462898585226,10000,10.259134769439697
[-4.45040226e-43],-4.378402466753429883e-43,5.5633761274622749634e-44,-2.1892012333767149414e-43,0.9646000541798044,0.011314633730824227,0.965096422312118,10000,10.408442974090576
[-1.76002198e-08],-1.7377186096937205228e-08,1.9665011844894487023e-09,-8.688593048468602614e-09,0.9846312827131158,0.015520797299583703,0.9852808837051376,10000,9.891453504562378
[-1.58209675e-45],-1.5800400284889943339e-45,5.7006219493094926906e-47,-7.9002001424449716694e-46,0.9640621384705617,0.009698871720877399,0.9643853891416064,10000,10.2049880027771
[-0.89118473],-0.8740739815118924997,0.122294965421688758935,-0.43703699075594624985,0.9967231819463581,0.019020731149436775,0.9990212411269656,10000,10.445258140563965
[-5.16947725e-434],-5.085214773801336946e-434,6.545936176198413105e-435,-2.542607386900668473e-434,0.8879669745287265,0.008931817680227062,0.8884222870570258,10000,10.537074089050293
[-1.30333814e-58],-1.2621085807416731175e-58,2.2740735793646366684e-59,-6.3105429037083655873e-59,0.9572125132285546,0.01746673665224113,0.9597802290524188,10000,9.419138193130493
