Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.99999567],-0.7270153268005003682,0.42181010879563512008,-0.5041936704086331597,0.9728420320432385,0.08088255232198771,0.9999939903600765,198,0.19736027717590332
[-0.99999849],-0.46386978985105181767,0.49116475065328668492,-0.43783708704952996094,0.9825949566027343,0.04512350982298861,0.9999964468523389,340,0.3377666473388672
[-0.99999576],-0.71766163287566844294,0.44641156651836535094,-0.67541867727157957796,0.9865059185202013,0.04764120862616957,0.9999940525150635,449,0.42786288261413574
[-0.99999121],-0.68741595405560485275,0.461090350376775771,-0.59884821630635034145,0.9801111726643164,0.05766759385351715,0.9999914401189288,503,0.5252711772918701
[-0.99999589],-0.62698847618012516596,0.46651422119619864552,-0.58095047266517612055,0.9824447594001599,0.04838735518333559,0.9999941501856044,341,0.33863067626953125
[-0.99999875],-0.24699210770326306613,0.4129184568843557011,-0.22329487080056489955,0.969324291102794,0.05662883991576688,0.999996777690819,337,0.33655548095703125
[-8.11022389e-05],-7.759763571357499145e-05,1.5350320110536024827e-05,-7.747205403243644798e-05,0.9903169571480462,0.011098282634087454,0.9908832764110374,10000,8.114887714385986
[-0.99999713],-0.48725628139434623692,0.43138333790912128076,-0.43309005176793885912,0.9696091075631947,0.06669577944361266,0.9999951073350353,499,0.5430307388305664
[-0.99999295],-0.22043899826101301966,0.3739491359398016716,-0.20858614798305647275,0.885996090632686,0.08875822147840036,0.9999923333088059,169,0.23677873611450195
[-0.99999261],-0.39423213514493942635,0.47955299504885876173,-0.38359254648109126487,0.9339517028031348,0.07551207255898286,0.9999921500943457,454,0.49228835105895996
[-0.99999241],-0.4096530648988768717,0.49010928564875557036,-0.4071828984843307432,0.9862889619375642,0.051232602379152024,0.9999920485822265,478,0.4776763916015625
[-0.99999192],-0.8678449817645292651,0.25427510148864456617,-0.70701523096859378157,0.9871692924489927,0.06385841698718163,0.9999917943960042,341,0.582324743270874
[-0.99999068],-0.582798828068235393,0.450758172382638634,-0.57501808461327504854,0.9875334413402271,0.05213619563668321,0.9999911894430222,470,0.6557648181915283
[-8.11022389e-05],-7.8903761104091315247e-05,1.3108573122308935066e-05,-7.889497471656247817e-05,0.9903232537667154,0.011080140676574387,0.9909010693019334,10000,6.915734767913818
[-0.99999638],-0.3770140032682761333,0.42690627345547302966,-0.29123220723376582687,0.9302966628832638,0.0895669266379617,0.9999945100470099,245,0.426647424697876
[-0.99999703],-0.5335817214625912303,0.41800622689916583686,-0.4519370851536100173,0.9829289789452792,0.05422727507405442,0.9999950209707276,455,0.6280732154846191
[-0.99999012],-0.6851583543511781278,0.43592360417969006368,-0.6606067401495143583,0.9815513928467787,0.061444517923163716,0.9999909283312074,439,0.5102870464324951
[-5.50955546e-12],-5.439324297208749139e-12,3.8351160826057799392e-13,-5.406500270550552206e-12,0.9825777963071715,0.010638835280198449,0.9829535042442008,10000,7.52440619468689
[-8.11022389e-05],-7.8856331902816277976e-05,1.3074598243160339755e-05,-7.87984161522677292e-05,0.9901274917869889,0.011025357221147364,0.9908911773534562,10000,6.342008113861084
[-0.99999332],-0.7158236569258651852,0.4285878214575456511,-0.69165233265510858295,0.9868551543230848,0.05231997425429056,0.9999925380982151,449,0.5114281177520752
