Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[-0.85298476],-0.8491437828480065077,0.054770137943233812726,-0.84902058457549856794,0.9985285314042687,0.010519223593547553,0.9988522934109217,10000,9.653296947479248
[-8.11022389e-05],-8.0711557839875861445e-05,5.2536921393965969886e-06,-8.066559400363885066e-05,0.9905116093426001,0.010277614767083063,0.9908182167105896,10000,9.630554437637329
[-6.74424044e-136],-6.7009307758502379216e-136,4.898608782490124495e-137,-6.7002613957942111834e-136,0.9374558016980449,0.009157906941293311,0.9377400246984199,10000,9.040902137756348
[-8.11022389e-05],-8.0751950236549097984e-05,5.2136057428864365693e-06,-8.072171826417321508e-05,0.9905076624962413,0.010250872012661328,0.9911128097281584,10000,8.72876262664795
[-8.1102238e-05],-8.056807837724839864e-05,6.2986699649941324644e-06,-8.055317590817786733e-05,0.9905132800308818,0.01026219662363157,0.9908673032454319,10000,9.290805578231812
[-6.11766238e-05],-6.0898365921750557418e-05,4.002482538698467193e-06,-6.088807208905199542e-05,0.9898633807782262,0.010455623862258321,0.9902592424457902,10000,9.140536308288574
[-0.99999226],-0.7243032792765481858,0.43230519112207985562,-0.69531645476922223915,0.9686913710620585,0.09915704979623621,0.9999919703946092,103,0.0971221923828125
[-0.96875485],-0.96531300169801502323,0.055111465580833039296,-0.9646543907761115824,0.9991612081824179,0.010540973894116935,0.9994859759243029,10000,8.950383424758911
[-2.31501416e-132],-2.3031398919834991003e-132,1.5977296053840249354e-133,-2.302689219187817589e-132,0.9385148000921814,0.009185702933430472,0.938827211012992,10000,8.784546852111816
[-0.99998304],-0.9937344989206180635,0.075192733397051128225,-0.993634283780953049,0.999621452923791,0.01054620741126929,0.9999881119841604,10000,8.950194120407104
[-3.28744101e-56],-3.2536959290056358983e-56,3.2104476898806462648e-57,-3.2536306682493880592e-56,0.9603214083748413,0.010052515209698718,0.9607248838253584,10000,9.066307544708252
[-6.42932424e-05],-6.4032774275488715154e-05,3.6568308275817498072e-06,-6.396028068660188072e-05,0.9899981242257109,0.010244088329804649,0.9903874366372835,10000,8.755953073501587
[-8.1102229e-05],-8.0651863383171300096e-05,5.710358181778763172e-06,-8.063420436803557153e-05,0.990471774747129,0.010417928505166821,0.991346469468111,10000,8.956189632415771
[-0.99999846],-0.5628036528601653607,0.43692099272398173958,-0.5173744994001627122,0.9717482509955871,0.09535924114693996,0.9999964178108223,112,0.20685887336730957
[-2.32123404e-132],-2.309624069827059537e-132,1.5930054169873724783e-133,-2.3093856885119265243e-132,0.9385226233523359,0.00918667762583638,0.9388167389355122,10000,9.563226222991943
[-0.98330875],-0.9790509712485177215,0.061980642064835436688,-0.978857681972877049,0.9992770166499287,0.010539324827928149,0.9996255815987527,10000,8.862980604171753
[-8.74307961e-12],-8.708431695434744751e-12,5.3282786338363314703e-13,-8.704933072810148783e-12,0.9827376967010479,0.007191876242514085,0.9829742227048109,10000,8.957804918289185
[-0.99999096],-0.39584146948700768356,0.46198945194468998252,-0.38562310828163387264,0.9575134178451652,0.09086697378692829,0.9999913211819461,90,0.2857975959777832
[-0.99999875],-0.5330284200385110201,0.46789544822944565712,-0.49178402507393037958,0.9666076401344667,0.10226218525599474,0.9999967711661751,96,0.16088438034057617
[-0.99999519],-0.5032402646893237956,0.48096160645055593955,-0.49059206421702935503,0.9689595794432169,0.0719648280585947,0.9999936669760977,98,0.09224390983581543
