Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[352.0073288],352.00732880366214678,5.551115123125782702e-17,619.3132211014449452,0.5804720934170993,0.0,0.5804720934170993,10000,6.119926929473877
[405.29827102],405.30023892065965707,0.1967804354553605333,615.73932084959038974,0.5498332444536275,0.00010798695506543241,0.5498343243771758,10000,7.318012952804565
[374.65248331],374.65248331264390821,0.0,615.2549609994684595,0.5671879834658907,1.1102230246251565e-16,0.5671879834658908,10000,6.1578497886657715
[423.66896518],423.66896518318860107,2.775557561562891351e-17,608.46515786338901444,0.5397451981873581,0.0,0.5397451981873581,10000,7.430371284484863
[476.85010117],476.850101166964925,2.775557561562891351e-17,636.0250624077748099,0.5117121232474817,0.0,0.5117121232474817,10000,6.420275449752808
[322.99232115],322.9973902327580272,0.39870466117337444924,569.97270074009283497,0.5981310702275905,0.00024166083128762962,0.5981341510229172,10000,6.41100811958313
[352.49163683],352.49163683457430335,0.0,619.72538152858516547,0.5801835896284101,1.1102230246251565e-16,0.5801835896284102,10000,6.152791738510132
[387.39530209],387.39530209196682425,0.0,620.53180756666407747,0.559889046891601,0.0,0.559889046891601,10000,6.534196853637695
[372.16517134],372.1671272808434967,0.19558425624827138668,614.78351702968826664,0.5686259730591635,0.00011189847222263136,0.5686270920998391,10000,7.686203479766846
[372.90560815],372.90560815049213308,2.775557561562891351e-17,618.6798051780132001,0.5681981888930456,2.220446049250313e-16,0.5681981888930454,10000,7.293614387512207
[403.48040189],403.48240963508921764,0.20076424828054446074,582.5204509317247246,0.5508439106147784,0.00011038894643497823,0.5508450145594415,10000,7.705101490020752
[381.33186368],381.35599885477546986,1.5057667372259100096,626.41750827027335535,0.5633338311842925,0.0008102093554306945,0.5633468975931819,10000,7.680291414260864
[406.61724922],406.61724921691740184,2.775557561562891351e-17,618.77025567311055493,0.549102423372604,1.1102230246251565e-16,0.5491024233726038,10000,6.39820671081543
[421.65740917],421.65740916834386556,8.326672684688674053e-17,618.65346671619982905,0.5408391299509814,2.220446049250313e-16,0.5408391299509812,10000,6.2009217739105225
[392.01742531],392.02453930185410427,0.71136357627955444037,614.6108757010540371,0.5572674379944754,0.00038495577830086796,0.5572712877447505,10000,6.466844081878662
[416.5608718],416.5608717958802396,0.0,624.48008022469281897,0.5436224853282754,0.0,0.5436224853282754,10000,7.118389844894409
[347.90742439],347.91304426050161114,0.5619587343543074485,594.06537886052858466,0.5829191721030055,0.00032423912256034017,0.582922414656363,10000,7.248517036437988
[348.31591847],348.31591847257648112,0.0,604.3224485278677729,0.5826776315169672,1.1102230246251565e-16,0.5826776315169673,10000,6.007717132568359
[332.50411235],332.50411234840285554,0.0,634.64243764842581197,0.5922598178077105,0.0,0.5922598178077105,10000,6.1415114402771
[388.27941431],388.28277387905182408,0.33594023160342891725,571.18868533072322086,0.5593852566026232,0.00018665580524811003,0.5593871232540105,10000,6.21630859375
