Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[423.6519193],423.65191929782747648,8.326672684688674053e-17,666.31568822504488814,0.5397544572199384,2.220446049250313e-16,0.5397544572199382,10000,6.019013404846191
[490.04275109],490.04275108815005707,2.775557561562891351e-17,666.1336639339681538,0.5050036610801297,1.1102230246251565e-16,0.5050036610801298,10000,7.668170213699341
[327.01914343],327.01914342510944783,2.775557561562891351e-17,666.73685559833296327,0.5956368319040981,1.1102230246251565e-16,0.595636831904098,10000,6.124156951904297
[252.08749209],252.08749209271489106,5.551115123125782702e-17,664.5955985807236305,0.6449735980995814,1.1102230246251565e-16,0.6449735980995815,10000,7.526355028152466
[461.34858806],461.34858805773066415,5.551115123125782702e-17,666.189053263112951,0.519714362041852,1.1102230246251565e-16,0.5197143620418518,10000,6.1382670402526855
[476.10773139],476.1077313863848678,8.326672684688674053e-17,664.6188943630554708,0.5120923594642194,1.1102230246251565e-16,0.5120923594642195,10000,6.179053544998169
[416.58090528],416.58090527660936694,8.326672684688674053e-17,667.6506407320079628,0.5436115112776125,1.1102230246251565e-16,0.5436115112776126,10000,7.514448404312134
[372.73950641],372.7395064104605935,0.0,668.6869280036321642,0.5682943674154456,0.0,0.5682943674154456,10000,6.088261365890503
[423.29423882],423.29423882272612667,8.326672684688674053e-17,665.0073198475092414,0.5399487860994573,1.1102230246251565e-16,0.5399487860994572,10000,6.035159111022949
[472.07268935],472.0726893531098467,0.0,668.51780910790679346,0.5141642822140852,1.1102230246251565e-16,0.5141642822140853,10000,6.679708242416382
[458.43729632],458.43729631663614776,5.551115123125782702e-17,668.4018982216106571,0.521232156302955,0.0,0.521232156302955,10000,7.699735403060913
[476.5106025],476.51060249985547576,5.551115123125782702e-17,667.89759236302262846,0.5118859751554687,0.0,0.5118859751554687,10000,6.036100387573242
[449.4518062],449.4518061999326761,2.775557561562891351e-17,667.15695295775928775,0.5259473625218752,0.0,0.5259473625218752,10000,6.9974565505981445
[468.65357767],468.6535776686807164,5.551115123125782702e-17,667.31944183567240836,0.5159268765627034,2.220446049250313e-16,0.5159268765627032,10000,6.076679944992065
[332.95496283],332.9559194828450784,0.09566076524479307119,664.7096119566135737,0.5919828969829929,5.81982102118187e-05,0.5919834789941965,10000,6.725135803222656
[389.71322445],389.71322445477926713,2.775557561562891351e-17,666.9402802833175868,0.5585743412222284,0.0,0.5585743412222284,10000,6.842311859130859
[448.90401234],448.90401234395332386,8.326672684688674053e-17,668.3242157213904164,0.5262363393294327,2.220446049250313e-16,0.5262363393294325,10000,7.667802572250366
[414.65788935],414.65788935025529283,8.326672684688674053e-17,667.3835741753237049,0.5446661173653693,0.0,0.5446661173653693,10000,7.632696866989136
[433.01254805],433.0125480522063418,8.326672684688674053e-17,666.26548155401686435,0.5346976531048836,1.1102230246251565e-16,0.5346976531048837,10000,6.16764497756958
[452.09924927],452.0992492731264008,5.551115123125782702e-17,665.43611593510590435,0.5245532368008349,1.1102230246251565e-16,0.5245532368008348,10000,5.994574546813965
