Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[7.66098674e-06],1.655594201672214365e-05,8.8025266606491530955e-07,4.7593007853647768396,0.999909060400656,2.8213967416437884e-06,0.9999381090202683,119,0.09171605110168457
[9.62776701e-06],1.6460256891524284938e-05,1.1941886821545409134e-06,5.5079583936342131475,0.9999093521833887,3.6196393989657806e-06,0.9999306178444882,95,0.10897088050842285
[9.9357464e-06],1.5579141131369993305e-05,2.087489656870759066e-06,3.8591714143497500707,0.9999119639833157,6.263412173050638e-06,0.9999295168587679,134,0.1246790885925293
[5.7490261e-06],1.6385597175502156753e-05,1.2105812162251757391e-06,4.491728645627104722,0.9999095714494455,3.933933451430968e-06,0.9999463855145548,127,0.12693238258361816
[9.66496148e-06],1.6145441695088220974e-05,1.4921777853493915713e-06,4.361177655716715192,0.9999102613577165,4.4381222094972375e-06,0.9999304839533674,117,0.12729549407958984
[9.96627079e-06],1.6419952667704567983e-05,1.0510913368311597855e-06,4.129699868846984014,0.9999094451415488,3.129527882415117e-06,0.9999294086733787,127,0.13461852073669434
[9.42297829e-06],1.6179914105188310677e-05,1.4027686238184721104e-06,3.302399654507252149,0.9999101543171729,4.208364281517378e-06,0.9999313597119474,133,0.13745570182800293
[9.4704859e-06],1.6089303258477582748e-05,1.7448325133864810191e-06,5.5351381049803269774,0.9999104614063726,5.2432700219679645e-06,0.9999311868984252,99,0.07939696311950684
[9.99360808e-06],1.6419082065837344535e-05,1.2580921872759039426e-06,3.8857006732036250226,0.9999094730400843,3.796124520840924e-06,0.9999293119243461,122,0.1310887336730957
[9.79404843e-06],1.593879894826457565e-05,1.6077235093599614708e-06,3.4267142070914360613,0.9999108568377079,4.784985967484471e-06,0.9999300212588386,156,0.14883089065551758
[9.7968968e-06],1.6101549147697735063e-05,1.7228931961664046726e-06,4.446740505239024362,0.999910424418976,5.195176427234261e-06,0.9999300110837189,118,0.12808489799499512
[8.8620115e-06],1.634971773798478603e-05,1.1139160483102811438e-06,3.9990517541469451225,0.9999096478776768,3.3694006503260318e-06,0.9999334341998336,125,0.1331467628479004
[5.71863237e-06],1.6618096757670364453e-05,1.1182614506570370536e-06,5.5363044509908388106,0.9999089276831395,3.857652205552357e-06,0.999946527425841,96,0.07682561874389648
[6.23832385e-06],1.6571611777597343373e-05,9.863672917609106817e-07,4.6665320746194505026,0.9999090337736256,3.309312319971668e-06,0.9999441505422895,120,0.11470746994018555
[9.96806218e-06],1.624034388329449957e-05,1.3091509012076689873e-06,4.6150604281723293593,0.9999099722701426,3.896126079200591e-06,0.9999294023294469,128,0.13357067108154297
[9.60133289e-06],1.6053285464303601826e-05,1.6105108001273228663e-06,4.3425022101893219913,0.9999105390115942,4.834696020163559e-06,0.9999307131582159,131,0.09676384925842285
[9.87471217e-06],1.6241927558906445004e-05,1.4287570771998220037e-06,4.012104368060747125,0.9999099853694796,4.281363308726565e-06,0.9999297336774524,128,0.09810280799865723
[9.47220324e-06],1.6505004006612512832e-05,9.797196823403101484e-07,4.3227191976716416422,0.9999092050297891,2.9623280895333675e-06,0.9999311806595582,131,0.07433152198791504
[9.77396544e-06],1.6428545768752554903e-05,1.0781765106343183202e-06,4.630671969168035995,0.9999094261195375,3.26267718063588e-06,0.9999300930424091,123,0.10208320617675781
[9.72163687e-06],1.6386771387495692779e-05,1.0931119021044813855e-06,3.485018325253803707,0.999909542685552,3.2954448265004038e-06,0.9999302804300364,134,0.11230587959289551
