Best Score,Mean_best,Std_best,Mean_f,Mean_acc,Std_scc,Max_acc,Max Iteration,Time
[9.88771287e-06],1.6429654492777570023e-05,1.1374444607054265269e-06,3.2254458356833365657,0.9999094294991685,3.4368045584410828e-06,0.9999296874375699,1033,0.7902319431304932
[7.41678701e-06],1.4978397242591042836e-05,2.1478827216022364925e-06,1.7302389273417454641,0.9999136935105812,6.355195159312147e-06,0.9999391034195917,1937,1.27836012840271
[9.90866434e-06],1.560226016409658301e-05,1.8260939719423032839e-06,3.7105967103153428088,0.9999118403562328,5.385841895569666e-06,0.9999296129829335,1596,1.0791826248168945
[9.96339089e-06],1.6253793369973484573e-05,9.0563052436397597556e-07,5.0378013798786355727,0.9999098920849872,2.731361758116872e-06,0.9999294188732931,1077,0.81378173828125
[8.01169645e-06],1.5311467834327037239e-05,2.099437053900353447e-06,4.2980376744434017015,0.9999127249299701,6.228649006137222e-06,0.9999367082293888,1570,1.1074326038360596
[4.35789906e-06],1.4608031057773477526e-05,2.660607274684474311e-06,1.8181813237013822541,0.9999149162399088,8.047937477779484e-06,0.9999533207805131,1896,1.2592449188232422
[9.98510668e-06],1.5461117043959134647e-05,2.11964541328336384e-06,4.5665867152553928096,0.9999123082313395,6.380613695584672e-06,0.9999293419973229,1390,0.9771771430969238
[9.93417635e-06],1.6446133594344848777e-05,1.1304737345122415252e-06,5.051682223649206305,0.9999093830825179,3.411900233488453e-06,0.9999295224278425,1033,0.8206894397735596
[9.81275489e-06],1.4512500703018605607e-05,2.3546793364508153577e-06,2.0126487483994631863,0.9999151073357624,7.034622249091735e-06,0.9999299544616164,1956,1.2323379516601562
[9.55853542e-06],1.6496265158107608341e-05,9.650019233886323545e-07,5.2316902344824977615,0.9999092270056589,2.8975985588169934e-06,0.9999308677520184,1023,0.7825334072113037
[9.87939284e-06],1.6153616601600101714e-05,1.5076607446801757987e-06,4.3688886175513880227,0.9999102462789125,4.591062155814085e-06,0.9999297170260885,1355,0.9947710037231445
[7.09359317e-06],1.1997798253269955617e-05,2.5665569977951690993e-06,1.0868559386167103653,0.9999229443917212,7.83149790453464e-06,0.9999404450120917,4541,2.507477283477783
[9.81516291e-06],1.4975567599797690669e-05,2.1584954274929125732e-06,3.0874693142257311894,0.9999137042472008,6.389589090377067e-06,0.9999299458676856,1930,1.261847972869873
[9.61833915e-06],1.4287893086162187584e-05,2.438655844643629507e-06,2.5394214012072222433,0.9999157927311703,7.28576827206151e-06,0.9999306518235624,2354,1.4015777111053467
[9.96945418e-06],1.45439597301602525325e-05,2.5897381519387558148e-06,4.0567968012873841777,0.9999150810960613,7.79484566639533e-06,0.9999293974002564,1741,1.1978120803833008
[8.88865458e-06],1.6679614745576576105e-05,2.529522592321751559e-07,5.3552256333348782526,0.9999086809479684,7.988171538284772e-07,0.9999333342119935,965,0.5961058139801025
[9.69318348e-06],1.6496868089765134194e-05,9.820330512189139218e-07,5.2033281243715701053,0.9999092270157636,2.9494707497525743e-06,0.9999303825327779,1024,0.605241060256958
[9.44508666e-06],1.4439710413875631057e-05,2.8939414931181107657e-06,4.053246088746512424,0.9999154948566513,8.873328268181841e-06,0.9999312792365493,1723,0.9947624206542969
[9.93422172e-06],1.6511652735055291996e-05,9.4004263647824005426e-07,3.6886999974470958642,0.9999091822530214,2.8219144615568597e-06,0.999929522266903,1021,0.5842087268829346
[9.99927631e-06],1.6316369913866653896e-05,1.3613123576590293945e-06,2.8247904700754629002,0.9999097725134948,4.145556165790419e-06,0.9999292918805565,1192,0.7387607097625732
